"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000081760",389.950171401922,0.835815450116899,0.140431184031444,5.95177955581257,2.65242481828172e-09,9.13907706832401e-07
"ENSG00000114771",367.687031196755,0.951248563569697,0.209491997263889,4.54073938858602,5.60572891243617e-06,0.000139886945604861
"ENSG00000087884",110.500134829412,0.604104419625978,0.158689930064111,3.80682264704457,0.000140763613938486,0.0013556148037989
"ENSG00000033050",332.518744576095,-0.331740374369299,0.0907252910435487,-3.65653689895645,0.00025564562653026,0.00210280394660566
"ENSG00000118777",291.326005620785,-1.57566334905358,0.325146051444876,-4.84601717305713,1.25964617578017e-06,5.16001956076564e-05
"ENSG00000168792",9.30712476178127,-1.122826519171,0.300890489639042,-3.73167832761342,0.000190208288932444,0.00170232063045374
"ENSG00000158201",123.42222362152,0.580179356538868,0.125156515681935,4.63563046140802,3.55851201580809e-06,0.000102412489661447
"ENSG00000173210",471.718191703969,0.552615535966794,0.142875402165585,3.8678143864564,0.000109815200954027,0.00113229239620428
"ENSG00000163322",73.1305366718827,-0.351135853617758,0.102146388924242,-3.43757481116814,0.000586948556925598,0.00388540199881133
"ENSG00000151498",148.799796681808,-0.389653865932388,0.0835836411889367,-4.6618436381779,3.13389257030565e-06,9.4683048222648e-05
"ENSG00000072818",283.293187423312,0.45377178615496,0.134455403425759,3.37488694833686,0.000738460197843961,0.00464944252897344
"ENSG00000120437",180.830217049415,0.310673711578225,0.0942987673047516,3.29456811003902,0.00098573053096029,0.00576201767484988
"ENSG00000131473",3039.31177025046,0.392297285210162,0.106247381275446,3.6923007466239,0.000222234441080936,0.0019160164737279
"ENSG00000153093",377.005581361448,0.615687971540465,0.164496001270959,3.74287500476257,0.000181926737917103,0.0016447662223934
"ENSG00000100312",10.5704304593923,-1.02245961888629,0.241483850529981,-4.23407038045117,2.29499067525822e-05,0.00037886899295547
"ENSG00000197142",2133.38776729509,0.47461443933053,0.0909137982713215,5.22048851060099,1.78451778520664e-07,1.33781583062285e-05
"ENSG00000183549",43.1675560712306,-3.65874976795383,0.564535697673171,-6.48098921473697,9.11231864307713e-11,1.07431707896827e-07
"ENSG00000131069",468.36565696163,0.350822247627192,0.0745385256839026,4.7065895710754,2.51895334151528e-06,8.20081292602508e-05
"ENSG00000107796",30540.0099217692,0.421909541482714,0.112254160605987,3.75852030076301,0.000170921172916192,0.00156465404343354
"ENSG00000072110",1112.91772806994,-0.42580970758432,0.113938412923348,-3.73719184478007,0.000186086940656816,0.00167505254855381
"ENSG00000135503",618.689124742565,-0.450791102793989,0.123829942144332,-3.64040469524377,0.000272209853151954,0.00220441605132447
"ENSG00000121989",320.442815050375,-0.364778062242231,0.115638327107408,-3.15447370579318,0.00160787866535611,0.00820935928059449
"ENSG00000114739",27.7009553039754,-0.873214096480268,0.218254755752209,-4.00089378795325,6.31036791464901e-05,0.00077269302678486
"ENSG00000151694",380.660477082728,0.257563007018667,0.0764158358700869,3.37054491501663,0.000750196754181296,0.00470209223793067
"ENSG00000134028",202.235207522581,1.1940545495888,0.266877538473086,4.47416652754094,7.67099418731955e-06,0.000172687861886591
"ENSG00000142303",1050.99038281527,0.531613253138062,0.157254141112105,3.38059938758039,0.000723279120429914,0.00457439462728283
"ENSG00000166106",388.151462100634,-1.17974414591752,0.217737892127581,-5.41818483861443,6.02071549373695e-08,6.37157064545209e-06
"ENSG00000087116",562.113348679432,-1.07226934866566,0.175108927892448,-6.12344191453359,9.15752487941891e-10,4.73291410851301e-07
"ENSG00000173157",23.4520811268685,-0.883797032800477,0.203865869243418,-4.33518879879404,1.4563507293964e-05,0.000270833200111438
"ENSG00000158859",16.2045907999447,-1.53789098424156,0.406148110912764,-3.78652748325077,0.000152767206481105,0.00144320215475372
"ENSG00000178031",49.5265174179916,0.878792685028159,0.267434227454811,3.28601425999838,0.00101615865519621,0.00590095129169184
"ENSG00000143382",216.944448379433,-0.404089922066906,0.128660196135467,-3.14075319488427,0.00168513975316792,0.0084865909453085
"ENSG00000173137",206.025336283455,-0.392280271454472,0.115272516483205,-3.40306851470208,0.000666335688876551,0.00429362487523363
"ENSG00000173175",382.51481375597,-1.35723918734854,0.236857778263921,-5.73018626323607,1.0032041414047e-08,2.14547313275584e-06
"ENSG00000174233",527.019907149751,-0.709361162889439,0.130818903154727,-5.42246682844021,5.87821252736809e-08,6.34029114691076e-06
"ENSG00000155897",39.0740609536673,0.74671568290814,0.192317514478597,3.88272323991188,0.000103293111544584,0.00108031008060626
"ENSG00000174837",242.886770216262,0.764006339052768,0.194676341397721,3.92449505454756,8.69118446851614e-05,0.000950665362852507
"ENSG00000164393",19.6809709340158,-1.36547858910023,0.345727807689836,-3.94957697566882,7.82894315199438e-05,0.000882849832450531
"ENSG00000159618",23.1238590237014,1.1276694211783,0.306772517482569,3.67591409566984,0.000236999269295605,0.00200120841679571
"ENSG00000117114",1705.85867216092,-0.284487604246702,0.0924032334462575,-3.07876243759546,0.00207862361114228,0.00994724046011146
"ENSG00000159346",637.640335936523,-0.232349964559515,0.0661437643263774,-3.51280225620386,0.000443407346939402,0.00316093375369905
"ENSG00000006831",566.573409876365,-0.651208658820366,0.135660312841731,-4.80028864138109,1.5843710977196e-06,6.02328205662719e-05
"ENSG00000148926",211.218738278903,-1.09291721454129,0.216360805079594,-5.05136415137313,4.38665866313199e-07,2.47327791170405e-05
"ENSG00000101544",317.047348314834,-0.2435861850721,0.0761974853455206,-3.19677459128145,0.00138973480780136,0.00740475539345707
