"CCA1"	"CCA2"
"BSN"	0.262462118134691	0.153953313596674
"C1QL3"	0.229930624196961	0.0674843185690866
"C1QTNF4"	0.244894168445716	0.0964869855411844
"CA10"	0.305029898738426	0.0963234763911889
"CA11"	0.215624181439255	0.0451393140533301
"CABP1"	0.21075923677548	0.139640557636263
"CABP7"	0.308209152969557	0.0960585119181239
"CACNA1A"	0.254253108703556	-0.0268189350586277
"CACNA1B"	0.309125710347112	0.0536199578449934
"CACNA1E"	0.222881885679345	0.0306984276548892
"CACNA1G"	0.259801691666341	0.00224784723500708
"CACNA2D2"	0.251271012469451	0.0750361498032259
"CACNA2D3"	0.261473446354032	0.0747174246223907
"CACNB3"	0.209627643946006	-0.0296386543153425
"CACNB4"	0.248981092337659	0.0116008812478493
"CACNG2"	0.300336572104916	0.0960901540855289
"CACNG3"	0.252973272885081	0.0826697171724633
"CACNG7"	0.356615109225601	0.0625814763800106
"CACNG8"	0.315919855337957	0.0981597108695723
"CADM2"	0.25231852961375	0.0702553079559895
"CADM3"	0.354871764643609	0.0546490101346788
"CADPS"	0.321339357355266	0.0385507305251722
"CALB2"	0.292218043912468	0.0740859127536162
"CALN1"	0.251470454395371	0.0828210982599077
"CALY"	0.320134468484822	0.0965535847653433
"CAMK1G"	0.273755519145832	0.0257304086934611
"CAMK2A"	0.351444276716291	0.0883874377680061
"CAMK2B"	0.325549058902367	-0.0134361737535136
"CAMK4"	0.278997337255669	0.0517620292712627
"CAMKK1"	0.206631246498978	0.0126150280526904
"CAMKV"	0.314912626461084	0.0946462561522322
"CAMTA1"	0.299115091870008	0.019078179919798
"CARMIL2"	0.24022720681886	0.00300156653157798
"CARMIL3"	0.240345844501359	0.0700359781030756
"CASKIN1"	0.257423106211072	0.059420323663349
"CBARP"	0.308736271877468	0.0634111701464155
"CBLN1"	0.276324120331833	0.115003310083005
"CBLN4"	0.211105136269002	0.0646171656036535
"CCDC136"	0.287328386562527	0.00265108809913704
"CDH18"	0.291107469130384	0.0654717625773879
"CDH20"	0.256793494428306	0.0930610715740777
"CDH22"	0.25866856534116	0.0781088354331876
"CDH7"	0.20743316242951	0.0450939846954958
"CDH8"	0.302755423620246	0.0887615913248821
"CDK5R1"	0.25194082318117	0.0576466825390567
"CDK5R2"	0.337503349897355	0.0850889900131507
"CELF3"	0.288164910434433	0.0134199336142533
"CELF4"	0.40983896881974	0.103599713054333
"CELF5"	0.214056953109059	0.0670864504958836
"CELSR3"	0.249505133470394	0.0338184865848907
"CEND1"	0.367586372552043	0.0981263577855924
"CERS1"	0.292472875068856	0.0931290460043504
"CHD5"	0.266344679187901	0.00751758301626078
"CHGA"	0.279920941426437	-0.0710833709844958
"CHGB"	0.294645025317505	-0.0709348736734975
"CHL1"	0.308306094111696	-0.0077223356834745
"CHN1"	0.302109142644856	-0.0106411525021459
"CHRNA4"	0.214181152453104	0.0784985584485538
"CHRNB2"	0.288322863121984	0.0720026967174233
"CHST1"	0.206480483064714	0.0766300873840788
"CHST10"	0.21750791847997	0.0516890656767257
"CLDN11"	0.324409993554678	0.0896446937801846
"CLIP3"	0.276238485793446	0.0337753942267232
"CLSTN2"	0.234305926608544	0.000695263346970229
"CLSTN3"	0.391846609848355	0.0773638048901324
"CLVS2"	0.269845186891721	0.074013422363125
"CMTM5"	0.29316587876545	0.0671365382819089
"CNKSR2"	0.27360915952149	0.0299862458611197
"CNNM1"	0.379543619094897	0.119829110235876
"CNR1"	0.326526292096059	0.031506886950509
"CNTFR"	0.225131166951041	0.0947785839181493
"CNTN1"	0.299806297006215	-0.0401816596607817
"CNTN2"	0.324698164287919	0.0284434834790644
"CNTN4"	0.268439951575182	0.0302124703130611
"CNTN6"	0.231384342653797	0.0755279079071201
"CNTNAP1"	0.329217968337433	0.0510072580482649
"CNTNAP4"	0.305732382642563	0.0917675161666853
"CORO2B"	0.23226996017158	0.0336214964207336
"CPLX1"	0.403246330036794	0.128565115175424
"CPLX2"	0.370122886314056	0.0649337202893219
"CPNE5"	0.230617115438846	0.0381928810818945
"CPNE6"	0.246909807613866	0.0521894198749998
"CPNE7"	0.218816074871903	0.0594416932688931
"CPNE9"	0.24711902086957	0.0696372667198732
"CPT1C"	0.214283663971055	0.0441262356837594
"CRHR1"	0.243920754066023	0.0793296093654548
"CRMP1"	0.354511607179666	0.0723518003027958
"CSDC2"	0.267467293578186	0.00373546276408323
"CSMD3"	0.242801630861273	0.0537939856898591
"CSPG5"	0.331737152011213	0.104277742154467
"CSRNP3"	0.232787437623457	0.0410568738348332
"CTNNA2"	0.321165961667692	0.0495332769948752
"CTNND2"	0.267122988299436	0.0978318494113015
"CX3CL1"	0.252952067453317	-0.0255693551562794
"CYP46A1"	0.286779946293295	0.0524525894474351
"DAGLA"	0.232170659001206	-0.019905931578236
"DCLK1"	0.291033119546671	0.00921147457183765
"DDX25"	0.320815382433128	0.0738932942960957
"DGKB"	0.205553446736294	0.00727566647085612
"DGKG"	0.265374887375645	0.00785135771364501
"DIRAS1"	0.265927405754096	0.0840306454025794
"DIRAS2"	0.365796607693147	0.106710899085617
"DISP2"	0.329149336725232	0.0414100803920956
"DISP3"	0.313454691083201	0.0932806360832095
"DLG2"	0.296582347591227	0.0454414189955945
"DLG4"	0.312909046912744	0.063758044799658
"DLGAP1"	0.374586503052933	0.11145216846069
"DLGAP3"	0.390008605773793	0.121664357659275
"DMTN"	0.211141157666766	0.0374729461440139
"DNAJC6"	0.279713156501825	0.0752912250498265
"DNM1"	0.203316031401718	0.0316370150710782
"DOC2B"	0.224431813845667	0.0434804448572611
"DOCK3"	0.237797377437522	0.0735499240690653
"DPF1"	0.239378118865722	-0.0191271012621305
"DPM2"	0.221814968878704	0.0830976510511546
"DPYSL4"	0.259923017397234	0.0659334592753683
"DPYSL5"	0.231821811675698	0.0874945616686536
"DRP2"	0.220802806864031	0.0697023922757672
"DSCAML1"	0.300114194329086	0.0937411784080922
"DTNA"	0.259780689610173	-0.0298089213088458
"DUSP26"	0.247417573009137	-0.0151562302497905
"DYNC1I1"	0.287577753428529	0.0859821889371782
"DZANK1"	0.269349305929184	0.0819702311155771
"EDIL3"	0.254874664704167	0.0432487049817632
"EFR3B"	0.226794930664414	0.0460122785088765
"ELAVL2"	0.27515743350482	0.047952109200264
"ELAVL3"	0.348975654702421	0.0939980586510614
"ELAVL4"	0.299475380589604	0.0541473235068646
"ELFN2"	0.309245943311068	0.0889191332718297
"ELMOD1"	0.33132536615169	0.0347779049511455
"ELOVL4"	0.207742893523369	0.0162191719656142
"ENHO"	0.220655676892937	0.0249123502333519
"ENO2"	0.382260998522908	0.0495786306624589
"EPDR1"	0.250234215149306	0.0376786620173855
"EPHA10"	0.256602854378097	0.0912903774188147
"EPHA8"	0.257224782967765	0.0776099194643174
"EPHB1"	0.215250260020601	0.0214501489886361
"EPHB6"	0.210373356611399	-0.0330822212985336
"ERMN"	0.343261449068287	0.111619964027913
"EXTL1"	0.216277004912277	0.0891444443810012
"FAIM2"	0.358398891974815	0.0601225371878031
"FAM107A"	0.227636546035541	0.0407489201853226
"FAM131B"	0.328643715895165	0.0717116093627498
"FAM135B"	0.294979251291114	0.0925790156196655
"FAM163B"	0.232439705391547	0.0741050576437535
"FAM171B"	0.302050612840319	0.00922848857041038
"FAM181B"	0.222794963990939	0.0319895547621637
"FAT3"	0.24627814828904	0.00429503731754188
"FBLL1"	0.236817389676987	0.0549034043953253
"FBXL16"	0.249077085481716	0.122963994791184
"FBXO2"	0.315089828053262	0.0901309434748994
"FBXO41"	0.237230163404132	0.076963714399234
"FBXO44"	0.296980876896185	0.109510030378131
"FGF14"	0.20181282693776	0.0250950606650648
"FJX1"	0.207535847585319	-0.0500303898304301
"FMN2"	0.286029766029984	0.0457839396161576
"FNDC5"	0.299206411307139	0.121186717674341
"FRMPD1"	0.227787840126352	0.0388629996955114
"FRMPD3"	0.235249717878681	0.066423923267936
"FRMPD4"	0.304118409997726	0.0417008561619561
"FRRS1L"	0.252327237694197	0.0399216339921084
"FSD1"	0.220407207353047	0.0266214358346726
"FSTL5"	0.210675942774192	0.0530597704672571
"FXYD7"	0.213933940575315	0.0582854779695311
"GABBR1"	0.237457144496161	0.020825851370038
"GABBR2"	0.318677347556248	0.0596060323299882
"GABRA1"	0.455023949648657	0.142234013468281
"GABRA2"	0.293672923580446	0.0969905491919269
"GABRA3"	0.212821244523832	0.0835796680800247
"GABRA4"	0.228867953270942	0.0845123610830423
"GABRA5"	0.297759270830292	0.0955273283943001
"GABRA6"	0.266553967316113	0.0700980956901048
"GABRB1"	0.207342212209824	0.0747953234536748
"GABRB2"	0.323407278993778	0.0698566860193309
"GABRB3"	0.299369857030188	0.0767940546862584
"GABRD"	0.283637799585818	0.0329430621078462
"GABRG1"	0.24434934646249	0.0794247492156371
"GABRG2"	0.376977246822091	0.115475151578839
"GAD1"	0.422387651578066	0.143183533399899
"GAD2"	0.355653124147688	0.114768895415671
"GAL3ST3"	0.233176605895711	0.0747176219124616
"GALNT16"	0.264766776652788	0.0463413009567077
"GALNT17"	0.265406633074297	0.0385816754796139
"GALNT9"	0.21165505264827	0.102556899338415
"GAP43"	0.352518654785168	0.071362285642666
"GARNL3"	0.213888895863302	0.0104803362038002
"GAS7"	0.222820568240936	0.00551611429050793
"GDAP1"	0.271982000441437	0.0702164563881411
"GDAP1L1"	0.300604323966793	0.0677357892427842
"GDF1"	0.244905307136927	0.0576314012718189
"GFAP"	0.366369118343252	0.0946520254893866
"GGT7"	0.263791155756886	0.045826465192332
"GLRB"	0.294916292595107	0.0498683090450276
"GNAO1"	0.292383401892072	-0.0169450498688321
"GNG13"	0.27165255921554	0.0652223975048348
"GNG3"	0.264243537179595	0.0648592744412319
"GOLGA7B"	0.302862723907559	0.0744945299895288
"GP1BB"	0.210160747077862	0.0405283378906864
"GPM6A"	0.229116686203013	0.0122536419329194
"GPM6B"	0.3677693771234	0.00765349470711889
"GPR12"	0.214829291509069	0.0725308628333575
"GPR162"	0.308410935200273	0.0690815653517357
"GPR37"	0.331623875878525	0.0875739252118373
"GPR37L1"	0.39669486695983	0.0964869109326036
"GPR85"	0.212709784442195	0.00555617238035402
"GPRASP2"	0.279771527663584	0.0403538423421774
"GPRC5B"	0.250494884660388	0.0043767258323184
"GPRIN1"	0.261270354187962	0.0398357450966975
"GPSM1"	0.207887160732862	-0.00172489955069589
"GRIA1"	0.369235473757956	0.0956032279995017
"GRIA2"	0.400118131771742	0.10812411758611
"GRIA3"	0.280284324450592	0.0985253217486427
"GRIA4"	0.350459070792497	0.100427931244751
"GRID2"	0.223964335760604	0.0582527007285752
"GRIK1"	0.271960409647429	0.0794440769329346
"GRIK2"	0.279424788227327	0.0881048766952509
"GRIK3"	0.235472409126023	0.0655461060270684
