"","MEbrown","MElightcyan","MEsalmon","MEturquoise","MEblack","MEpink","MEyellow","MEcyan","MEred","MEmagenta","MEpurple","MEtan","MEgreenyellow","MEmidnightblue","MEblue","MEgreen","MEgrey"
"X1170_F_kid_yes",0.121230445562633,-0.13962033099083,0.0136618915458507,-0.067592734686071,-0.11164863528622,-0.232623241352435,0.148908674461601,-0.158341448746493,-0.189978906262219,-0.0772273887247849,-0.151063288098032,-0.0186914764586154,0.0494164441137393,-0.106784072761525,0.0420584002641891,-0.154512741171963,0.167211843826401
"X1165_F_kid_yes",0.156342812781354,0.255746002339231,0.0371815866841917,0.05460112871311,-0.0656957149145228,-0.0690844278871662,0.0223341880797303,-0.0736389088278065,-0.168643035982581,-0.0948020859567481,-0.202388816395477,0.297669752842085,0.00459541618386428,0.0117846822838157,-0.0693596813924167,-0.131758947628635,0.0808018512032298
"X1156_F_kid_yes",0.0829966352512455,0.0340382919419539,-0.0138125271067754,0.042884996810563,-0.169245620416346,0.143523340949786,-0.00955566456626876,0.161526946939343,0.00913523091763692,-0.135150324853906,-0.143020982056389,-0.103185237304075,-0.0196196117870983,0.0685441276582768,-0.0741140077365734,-0.0525284915466083,0.11109176442298
"X1109_F_kid_no",0.146583576153773,0.166941181864459,0.214220834235392,0.142398388277152,0.0953707042848338,-0.0652986836296713,-0.0521167260352243,-0.0190178484069898,-0.104112170015445,0.0943729325907477,-0.0600008692163364,-0.161496451236504,-0.0128611500509295,0.0126538671817331,-0.167072841472609,-0.135318203641067,0.0704259749484502
"X1164_F_kid_no",-0.225308006280772,0.107158387011465,-0.133649814213229,0.1527638591743,0.323480402072709,0.181623681021551,-0.186167137611102,0.196882832179396,0.322790526991992,0.429560564896213,0.290830351650527,-0.143299936752265,-0.59875006379612,-0.52053602377549,-0.0409064835456799,0.141417966798468,-0.271491323438773
"X1010_F_kid_yes",-0.0523224650851734,0.00562915627650703,-0.241176744635847,-0.0941282423601231,-0.0268510922752089,-0.103049829072317,0.0541287480554121,0.157024641498553,0.223977260408771,0.349088882825347,0.326536776886562,-0.120902283949177,-0.0822805368457548,-0.0623145242757299,0.0471348954782272,0.0162499425685459,0.0866390662071929
"X1154_F_kid_no",0.121561072286751,-0.0746140381307339,0.0248221068816802,0.0937634456400021,-0.152324354788826,0.145580265988559,-0.0273955026027,0.32148039994082,0.164641349185203,-0.109529681650218,-0.174532092129894,-0.145048509761126,-0.116846569833739,0.0178533103248927,-0.144169291016919,-0.0718085202347661,0.117005021847801
"X1151_F_kid_no",0.15748955741036,-0.024314672260174,0.0349828164892843,-0.0725312078047471,-0.185021831965506,-0.187423334743769,0.177000767213418,0.0808492729098876,-0.0384380790535055,-0.0994243928089553,-0.132983468345298,-0.124209602792225,0.0707734064761617,-0.0728721427342863,0.00147399013484503,-0.148552315593562,0.209674104863417
"X1152_F_kid_no",0.123358622450903,-0.0455260760220638,-0.041771761547091,-0.0895473651040883,-0.233241735439536,-0.0786430820410537,0.172715469522418,0.167650581020939,0.0757657173262556,-0.0774423096651714,-0.0802446343531277,-0.149173930004898,0.0612968239206488,-0.0219947731228204,-0.0207401885559807,-0.12463453499589,0.170857622834387
"X1108_F_kid_yes",0.0875124080173234,0.0526625905159442,0.215919134082056,0.198315372881865,0.180982198232315,0.0220263828320184,-0.145539005718495,-0.0787194996061911,-0.16336898411264,-0.00584991443932662,-0.0921464156644108,-0.147627981318218,0.0672422619723134,0.182886101293742,-0.190049021473617,-0.117023480163951,-0.0177295296632043
