"","MEbrown","MEgreenyellow","MEturquoise","MEcyan","MEpurple","MEblue","MEblack","MEyellow","MEgrey60","MEsalmon","MEmagenta","MEpink","MEred","MEgreen","MEtan","MElightcyan","MElightgreen","MEmidnightblue","MEgrey"
"X1170_F_hyp_yes",0.222036380453928,0.131399665016498,0.282226477216375,-0.0162185321595307,0.239876888867255,-0.245600977717426,0.0787260115566844,-0.124329264801691,-0.0848550272922413,-0.205772766500555,-0.359859159373114,-0.241855803515316,0.0621502225687328,-0.16186299088004,-0.0271497338754066,-0.0377911029756705,0.188752978493667,-0.014387082417589,-0.106317347526254
"X1165_F_hyp_yes",0.0624018534634537,0.098941322048545,-0.1036884034529,-0.0362405986129147,-0.0320842043036632,0.0846497597621805,0.0783078406395153,0.196850602757736,-0.0766231858489368,-0.191200669968741,0.107560641741175,-0.0094791745569015,-0.2030374402423,-0.109656177870173,0.00480338744388309,-0.11683414660838,0.0315751063327444,-0.00373872329632108,0.130180629469525
"X1156_F_hyp_yes",-0.0323070580341283,-0.0607123556335975,-0.168003898246166,0.0331951307087062,-0.0544824714404113,0.131041469222694,0.0657131039165754,0.15073964626427,-0.100640056125289,-0.148650641594697,0.095913917420078,-0.0187480856863956,-0.115251787522156,0.0213645990331442,0.0589007081933382,0.134342410555325,-0.0530834080684968,0.140212657916675,-0.0471717716969156
"X1171_F_hyp_no",-0.0913176350739476,0.137754294711128,-0.129040972330286,-0.0320965205828641,0.04164746271176,0.0802254788460348,-0.0129215595315779,0.0718995523168694,-0.0127423976962317,0.287844500269467,0.0859817962610509,0.0932853859114782,-0.0763946179252288,0.0304384313971569,-0.179641197873849,0.37599107521156,0.0226346530415058,0.248550717749848,-0.0713643366626586
"X1109_F_hyp_no",-0.288043936976661,-0.173936913276036,-0.129335721219669,0.164226058577449,0.00625875619133318,0.127917423300413,-0.106623799796076,-0.126857767084958,-0.0342544379323334,-0.0612805717246852,0.132945473906536,0.178330686984383,0.198115882772271,0.285268551088572,0.240331566536473,-0.092523216077002,-0.0788084743259669,0.104032711085343,-0.110810194007997
"X1164_F_hyp_no",-0.315219171714598,0.00530095397822277,-0.121297913385039,0.0133639319678854,-0.0341047939344978,0.107771753924653,-0.194923653480542,-0.137538274923098,0.814471024234009,0.308670442527714,0.270299188795395,0.348369097363454,0.195574969676719,0.279328613262448,0.0517321842149639,-0.236723704699672,-0.00249702007224877,0.0985159803228789,-0.0223223319568303
"X1010_F_hyp_yes",0.170302513912191,0.301977436311353,0.324439130443032,-0.2246507365225,0.0812765284622319,-0.377265039207768,-0.11387557032521,-0.178880740322151,-0.0198008156000562,0.013735677246463,-0.140007607006201,0.0332994449462259,0.0785958709751179,-0.243584773481879,-0.0734081635379777,-0.109974788934564,-0.126582296604639,-0.179399733146977,0.170230665809099
"X1154_F_hyp_no",0.16344837780462,0.269062757316279,0.2752978667368,-0.164505167333474,0.0758528311332974,-0.300522827907245,-0.0711390609658315,-0.152862969869399,0.0242536510539896,-0.230647546187705,-0.200839516445346,-0.0400445592283048,0.0778652020036192,-0.168662370491037,0.00812795014369068,-0.137546799307831,-0.11998260741994,0.139043565207962,0.0494900299511722
"X1151_F_hyp_no",0.025216858990487,0.0829906317457846,-0.164531536265656,-0.14717189678974,-0.349071441909071,0.146985999676718,-0.0129501476009243,0.232161705591081,0.0776577818136557,-0.194639865977319,0.205209931640035,0.0995025845883283,-0.2178776093464,-0.0961782237008447,-0.02101773618703,0.0153178193904041,-0.0764207249803639,-0.119565589550406,0.216261722141026
"X1152_F_hyp_no",-0.266287948618798,-0.0964812269870702,-0.136754806773949,0.179454468575015,0.0755254286322431,0.121635916184713,-0.0902133717711943,-0.102671819870949,0.0304467523254148,-0.0491877520506171,0.15167697679555,0.168433081391134,0.162257086643578,0.281206921694389,0.264163754779174,-0.221012208245455,-0.105396845276291,-0.121492150330275,-0.128418980617134
