"","MEbrown","MEgreenyellow","MEturquoise","MEcyan","MEpurple","MEblue","MEblack","MEyellow","MEgrey60","MEsalmon","MEmagenta","MEpink","MEred","MEgreen","MEtan","MElightcyan","MElightgreen","MEmidnightblue","MEgrey"
"X1105_M_hyp_yes",-0.284139000561626,-0.25565404225666,-0.112068081403992,0.168487026841622,0.00161275134734271,0.115608550225067,-0.103590518662225,-0.136271999684502,0.0890521377470985,-0.0096069805914398,0.117438447691138,0.16998883069695,0.255396051002546,0.305959571821512,0.291952682826002,-0.133722445313743,-0.07663592998811,0.239418125474332,-0.152472635008463
"X1089_M_hyp_yes",-0.340269802412073,-0.083628592515022,-0.115889268154677,0.0550650072025374,-0.0552373876559962,0.0847916504174458,-0.221750129073846,-0.153518293726322,-0.00500947947680946,0.0322428796594251,0.188056778311745,0.286218731385033,0.260892687699493,0.341511591085884,0.367087724605725,0.178411899054402,0.538563643223815,0.292687113769055,-0.08924728857675
"X1192_M_hyp_yes",0.140265184847266,-0.178364216869521,-0.134233228637739,0.175289416445298,0.0444834218387134,0.166019863394997,0.263114542833919,0.231811675750147,-0.0798437598960745,-0.150740225468409,-0.0471037814131353,-0.237113396304209,-0.220334824744248,-0.0951690681418035,-0.0418250166021482,-0.12780634165635,0.0979280865032303,-0.0052633322226616,-0.104788117316455
"X1169_M_hyp_no",0.192376852130538,-0.0841879556546806,-0.140730180742944,0.195417856549252,0.140624027633356,0.1516539757612,0.343646111437804,0.268925180883597,-0.0858367516420284,0.12559392576585,-0.0893926539926257,-0.219238925373055,-0.300030311312807,-0.177347134055498,-0.321368022848447,-0.414321053713145,-0.15516286671159,-0.0442522301091024,-0.0929176390630716
"X1148_M_hyp_yes",0.146869769937136,-0.199284476136693,-0.120642705912139,0.218650366591947,0.0224403496063839,0.173991320088026,0.28484957183232,0.212610402403499,-0.120536824209505,-0.14307573990604,-0.100379776948127,-0.246493458586391,-0.205746490890482,-0.09080764403968,-0.0409759657670532,-0.0410903189017823,-0.118490944220185,-0.104274634182719,-0.148050147159147
"X1138_M_hyp_yes",0.0397705123442382,0.042851064084078,0.108257448521191,-0.00744090694475522,0.0981851583370843,-0.0856212876964243,-0.000716534194965712,-0.0659989279846158,-0.0792035865671325,-0.176948682328852,-0.0934384678194632,-0.055243222457091,0.0438017085610113,-0.0555695382575922,-0.00112604669384178,0.0950394786763897,-0.0823961802602661,-0.125841173105397,-0.021723918934817
"X1139_M_hyp_yes",-0.0428555274231845,0.00625175202384118,0.143688224916372,-0.162584848501189,-0.0896871623922894,-0.156955522009038,-0.186531933582259,-0.163074245248939,-0.0691385000185329,-0.112393589642065,0.0225597673152886,0.113938969398888,0.134784750514607,0.0455815801213067,0.187610182674225,0.197796144229599,0.272170732389578,0.091211429854799,0.0933318022979639
"X1013_M_hyp_no",-0.258483306364296,-0.180113318588206,-0.104907096159071,0.127227165124728,-0.00673094621300035,0.102779306624608,-0.110543378205394,-0.125511204341645,0.00723448598342074,0.202806787510337,0.107007545288697,0.148890573862742,0.227067633967826,0.298766962641532,0.243659604736657,0.298789605171764,-0.0126779850757512,-0.0693633375728971,-0.148795061183269
"X1143_M_hyp_no",0.263531384517164,0.208756302365699,0.285514819272128,0.0505496061040498,0.253908684103853,-0.245936596832815,0.112066790081302,-0.136611954212555,-0.0899110711502406,0.146419547420566,-0.349038129570137,-0.219206776827581,0.0485544465828946,-0.201525630238869,-0.307464789552833,0.0154390411997275,-0.118095744924766,-0.239230925789653,-0.0879034783157879
"X1173_M_hyp_no",0.116162055399752,-0.159752457834546,-0.122344079343534,0.0462117756678762,-0.0939987681626171,0.143224090885924,0.187008616032952,0.23208451168384,-0.107595129894653,0.152948940362368,0.0148209930280437,-0.136768978135513,-0.225720477385119,-0.122374534632762,-0.15815944143378,-0.00888102736440311,-0.105109610220485,-0.0972209099260626,0.0427217789691761
"X1071_M_hyp_no",0.202259613738295,0.199392786075856,0.304979188283733,-0.0750719195951019,0.159865586032142,-0.32660030090054,0.00389437322671989,-0.155483674432165,-0.0962711437062809,0.000650203071000919,-0.21235723389793,-0.0806653588158101,0.0678321319219761,-0.216517503568796,-0.13579354580822,-0.240964269693587,-0.158257355542849,-0.262529523526026,0.0639726975141918
"X1155_F_hyp_yes",-0.105777045444323,-0.173820011562571,-0.120126941680335,0.0130785303860206,-0.110110534016724,0.132809379666094,-0.024272636953369,0.0509100628514317,-0.0652135879824819,0.0525283948212735,0.106749345652175,-0.00518893659179835,0.00894852247835774,0.132192058196239,0.0719605517786638,0.104879691279468,0.37349853570982,0.458517647781384,-0.0412720380234373
"X1158_M_hyp_yes",0.104890979669688,-0.333122261230739,-0.144168686556499,0.0339739973669006,-0.149865804313596,0.169225028458563,0.175200566832936,0.260855935619266,-0.0637006159817604,-0.174417138070634,0.0747544456311322,-0.158392985963827,-0.227993514048767,-0.0914227292109014,0.00332887858920181,-0.100499515550436,-0.107385991487863,0.0561256842667593,0.0664249147815554
"X1168_F_hyp_yes",0.00429500761687136,0.0764209365559829,0.115410609455405,0.0159531055511544,0.124314282005012,-0.106375690489206,-0.0312905523599399,-0.137977569302204,-0.0460420054093567,0.268317685036778,-0.166768890979903,-0.0626302707550384,0.113188444573832,0.0374881071528045,-0.0361383255368441,0.268770507854612,0.175647926545962,0.0529627075029395,-0.128709643901421
