"","MEbrown","MEturquoise","MEgreenyellow","MEred","MEgreen","MEblue","MEpurple","MEpink","MEmagenta","MEblack","MEyellow","MEgrey"
"X1170_F_lu_yes",0.0541795172214304,-0.14175498400629,-0.100951190281374,-0.025144168686908,-0.19490317586267,-0.0123332833170939,-0.0730000448286725,-0.0509053090283797,0.0942561117306492,0.23767175178056,0.207679777028768,0.15971643950651
"X1165_F_lu_yes",0.0104084222532647,-0.147335712437066,-0.134405739765142,-0.198595357739777,-0.127590441409463,0.0745215380523018,-0.0853108882433641,-0.0927765870517957,0.726357013307734,0.216943646462642,0.184352780766119,0.0666894885940876
"X1156_F_lu_yes",-0.00932429976833135,-0.136452429842616,-0.476685696330476,-0.0772895523637051,-0.124331979018032,0.013323298790717,0.11085933661888,-0.0614631900864403,0.158809459985407,0.154524511894999,0.17290252425187,0.123106650310575
"X1171_F_lu_no",0.0137947498593699,0.259607255713902,0.187011030725314,-0.190552912761199,0.245470329622044,-0.108956872497642,-0.0237587166746379,-0.0963269721339017,-0.205959633951659,-0.251188537554474,-0.22240837740827,-0.2266645598844
"X1109_F_lu_no",0.156885075176131,0.215782807416266,0.138918528877063,-0.0583719508429646,0.0792650154018335,-0.169210709175181,-0.168521017698013,-0.043893174092012,-0.19994413200804,-0.0936718664775795,-0.196752361693161,-0.0801053955348471
"X1164_F_lu_no",0.0843384142428551,0.165335789540837,-0.264319652066297,-0.0323649169179323,0.0527460943751194,-0.120379859333873,0.162560166320127,-0.0545829841305033,-0.0737457997618219,-0.10480464446608,-0.173319059479576,0.00330299277796936
"X1010_F_lu_yes",-0.265473136286822,-0.0579187686721132,0.0288018033496429,-0.0926325334944235,0.233222894196292,0.280545209285484,0.158319802206406,-0.0609091748257476,-0.0353090848703708,-0.187117316530458,-0.0116282512007,-0.159732942567427
"X1154_F_lu_no",-0.0912915379787161,-0.165697542750623,0.0887502120993686,0.0932098386831389,-0.0923876030547132,0.0434231400407328,0.311672511973364,0.0354883728418627,0.0515735092974259,0.0920909164343926,0.184524890011971,0.16688983479506
"X1152_F_lu_no",0.179990870261397,-0.0874482398601837,-0.101496268581446,-0.207891269843654,-0.238943493250379,-0.127357665501882,-0.112889413723124,-0.0359069875115241,0.194979543472561,0.318905793564457,0.183621877313743,0.226472470059551
"X1108_F_lu_yes",-0.158640037063265,-0.167962445004571,-0.0527262868289346,-0.0783762131313417,-0.0106807814545641,0.207015576412022,0.087579401517064,-0.0506699818960404,0.0327500047222012,0.00650690335141193,0.190696828539814,0.0317277800855548
"X1051_F_lu_yes",-0.223282208812695,-0.180885479053922,0.0262203988347683,0.105301266501977,0.0289706244725035,0.257906990346679,0.100053099395066,0.456905127916788,0.106063233010748,-0.0208999756802973,0.128895339783427,-0.0177704632549647
"X1157_F_lu_no",-0.168675746359977,0.194795761540604,-0.101333347280851,-0.259715637133618,0.397585059793726,0.0809471444969997,0.263817576408714,-0.0992785947762589,-0.16888233034069,-0.352947383091943,-0.241096484575834,-0.36854124293593
"X1175_F_lu_no",0.289534610219932,0.364087895268471,-0.0395389646938163,-0.182106341432278,0.0829683442414457,-0.402994218620376,-0.210896867697514,-0.103510237358229,-0.267460079182348,-0.113257651118717,-0.336746088339961,-0.175439737631374
"X1174_F_lu_no",0.325412852928741,0.133812427442414,-0.190876087003447,0.31049997149446,-0.135893688106773,-0.19864158552802,-0.239209168984862,-0.00326507080557235,-0.124318641257658,0.0320512292441302,-0.193476277526477,0.240011728451034
"X1127_M_lu_yes",-0.618825811483939,-0.294961578910919,-0.0865044565286059,-0.123231040749617,0.329009862907409,0.525706276467615,0.50567747085292,-0.0286004068173217,0.0658607446596266,-0.293796024721846,0.219990860259524,-0.369001328124659
"X1119_M_lu_yes",0.0480788045288118,-0.152596493536088,0.169131092679273,0.371789966586545,-0.151721602626598,0.0401677189045371,0.0386648095731091,-0.0190337032205984,0.0400940478017997,0.133848337493163,0.087350232589592,0.218669430769174
"X1081_M_lu_no",-0.0113791525486307,-0.00588529060150549,0.362561012721553,0.286578836759303,-0.0331054566458594,-0.00212319008226386,-0.188837395266453,-0.0232735782883355,-0.049509100495577,-0.0303268469207768,-0.057425417975208,-0.0293606495716934
"X1132_M_lu_no",-0.181824219944557,-0.0674624999089269,0.0498571398538464,0.00191871128119746,0.0442920167964424,0.153177224161663,-0.0263764868245606,-0.059706764235874,-0.0674102612461933,-0.0622359752240711,0.0785312217701996,-0.0717314163225302
"X1178_M_lu_no",0.116460697199195,0.248210309547657,0.0515290188207853,-0.0019019567642455,0.147371868271753,-0.183561857235851,0.172053842604693,-0.0857306236847294,-0.110163399548326,-0.172273185660065,-0.220096896027076,-0.0662950262789208
"X1105_M_lu_yes",0.0509971859019357,-0.133465035022379,0.290985916397224,0.44098074436576,-0.205397688492476,-0.049986759698221,0.0540062436742932,0.0390627463630479,0.0438855874242715,0.154961428299971,0.132694527221599,0.211097732070283
"X1089_M_lu_yes",0.0717911186292295,-0.15395063051651,0.0630921125212696,0.0922911683602827,-0.22020472455391,-0.00509499124753821,-0.228608101699612,-0.0436707985141881,0.00501889180134056,0.239474317188574,0.16695940215583,0.177343896105851
"X1192_M_lu_yes",0.0911839654843597,-0.131484048292309,-0.151838323403887,0.124327114355043,-0.229818942098072,-0.0581569925154269,-0.0632980704155705,0.0610592614261043,0.0979149782297876,0.221869002116222,0.141000974453052,0.212898382360193
"X1169_M_lu_no",0.135566019875349,0.275605536540436,-0.132860696440996,-0.152003443081001,0.119517942401634,-0.208326645431073,-0.0146540471688432,0.136290120948618,0.167637267624345,-0.156240746350946,-0.237997690829673,-0.117673631700435
"X1148_M_lu_yes",0.0781721791617253,-0.0801049991453441,-0.165165272795306,-0.201847682191337,-0.187012869534536,-0.0460970976649788,-0.0950943072723157,0.807756104641527,0.0324088276620313,0.228113353297486,0.128902379672063,0.157395727100305
"X1139_M_lu_yes",-0.126308923573836,-0.210624972569803,0.0634460461834084,0.0910047700621379,-0.0497175947195638,0.262218689930484,0.0362779275066408,-0.0508397060068961,0.152368833607472,0.00715044551475623,0.170337467611034,0.0123173298153947
"X1013_M_lu_no",0.10345409402895,-0.00520286472018162,-0.101498886375366,0.165074550105136,-0.119563395900275,-0.0876739561426804,-0.0358600809786405,-0.060611467743728,-0.0545908858551978,0.0909035553729323,-0.0290018704630412,0.123230218993324
"X1143_M_lu_no",-0.0631405700277885,0.272829140985938,0.156450688450459,-0.20023087115868,0.403947715465195,-0.0107607974953082,-0.02765904084905,-0.0990544303148011,-0.205279751638725,-0.328737311848049,-0.296067370114828,-0.401732086045183
"X1173_M_lu_no",-0.00366478857026765,0.0918634552778581,0.25872064618153,-0.00762139251844869,0.0255576111224614,0.0123320977221429,-0.399415990089569,-0.0678280606350831,-0.127347046618564,-0.10430811248479,-0.165001802604796,-0.121315494182943
"X1071_M_lu_no",0.111428471079241,0.119837496443578,0.0145463103484902,0.104400560700791,-0.0372492746727511,-0.15678496812398,-0.0567164037793046,-0.0903094561342899,-0.132361987646894,0.0108125135683323,-0.0867419865981996,0.0449150360519296
"X1155_F_lu_yes",-0.136674266432063,-0.0250349260540452,-0.0134901235357502,-0.0295698275786403,0.100431626020154,0.09498040732521,0.173278261023533,-0.0667493698277254,-0.091855696000444,-0.0453267460551719,0.0264925321938577,-0.0891158799539247
"X1158_M_lu_yes",-0.0234219231352813,-0.156771558055501,-0.1426538659537,0.0902259232418408,-0.125072866312799,0.0579711838460577,-0.0509241198547394,0.00465192321460066,0.00997014067000331,0.17445604510792,0.168230773629069,0.104679701515487
"X1168_F_lu_yes",0.160249573934251,0.161232623242936,0.3063228998214,-0.158156354107842,-0.0067614273745767,-0.155795046171254,-0.0737902876259656,-0.0923170282325721,-0.0658103645848953,-0.00315142650668065,-0.10540445441473,0.0140150146269486
