"","MEpurple","MEsalmon","MEcyan","MEblue","MEtan","MEyellow","MEgreen","MEgreenyellow","MEbrown","MElightcyan","MEturquoise","MEpink","MEmagenta","MEmidnightblue","MEgrey60","MEblack","MEred","MEgrey"
"X1089_M_liv_yes",-0.0460426581042999,-0.140722373202404,-0.339413648250222,0.10235532269427,-0.248615317757631,0.0273596580849365,-0.0489889069819145,0.122669312591175,-0.0738155171148546,0.230511665539628,-0.087246453481642,0.242511573314644,0.273468030016827,0.201228108317887,-0.251581283758226,0.0049888636515713,0.0870975026654921,0.0741180064901992
"X1192_M_liv_yes",0.252854136620467,0.138143735178437,-0.0131108869802992,-0.129018850050327,-0.176859852721292,0.0530652565781516,-0.139674636573094,-0.0288422665343655,0.0809640422470035,0.20552690467323,0.11888115723634,-0.0610216784986124,-0.0607245654464677,0.0405605499015223,-0.215736195793678,-0.0454289305493551,-0.16231044837406,0.229667482334511
"X1169_M_liv_no",0.0540406634994942,0.171193485635735,0.0357736169150749,0.225198143773545,0.188556606952009,0.285424699376573,0.21047758048188,0.255472286954573,-0.131337392452857,-0.311336617540054,-0.249864845795307,0.242112423028287,-0.0448456382293277,-0.0650320953433722,0.0213543589430613,-0.233336602533664,-0.0572709888274041,0.145288916009054
"X1148_M_liv_yes",0.192685295966527,0.19361821170642,0.0898089122034832,-0.149850108006192,-0.0876209898796442,0.0204449460926499,-0.0546433615791888,-0.0626593833282324,0.0446614013079884,0.0733469811991574,0.14255559078079,-0.113593740201351,-0.100050267334999,-0.0310624309710565,-0.181500194950714,-0.0769368183295938,-0.195906576700243,0.103143079225336
"X1138_M_liv_yes",-0.0485901536286385,-0.0193869795650243,0.107467460555854,-0.116831555317084,-0.00960606164217173,-0.13570849614387,-0.100729301321994,-0.117777170080134,0.0657441509845945,0.0236154210742661,0.118585456930683,-0.18902865836842,-0.0820356215689448,-0.0951702872531797,0.0555909842544543,0.102622261006979,0.0630745866294482,-0.0364425706784105
"X1139_M_liv_yes",-0.0361846356794503,-0.0121236765858635,0.153519913659824,-0.154585921327288,-0.0536739043437387,-0.128271225010706,-0.0450255865693808,0.0118771429060057,0.0754825394911968,0.261840319218427,0.167706196989921,-0.128072998760361,-0.100977391063244,-0.00961471737628638,-0.103269218953853,0.0565277949945211,-0.0888914716748481,-0.0607464458801801
"X1013_M_liv_no",0.19733995596245,0.052900770915277,-0.208852039523765,-0.0586845946715569,-0.123922354948386,0.0447369532340672,-0.166115194740027,-0.0224923064932064,-0.0585797603717984,0.0273836104851683,0.0404384887715055,0.156390920102036,0.293940219509479,0.211914414286998,0.111343198897442,0.0512483571804779,0.0339796820960554,0.209803407496544
"X1143_M_liv_no",-0.0435426155513721,0.135888310734879,0.0611856832377146,0.323464634898211,0.366737336452795,0.348398616487584,0.342138186155735,0.0906990342695531,-0.234742742471131,-0.440506241493838,-0.338570913863289,-0.00171293460924231,-0.181933755291241,-0.323739420084238,0.181641435364236,-0.22653733584541,0.0241900136109597,-0.0389566837336541
"X1173_M_liv_no",0.144177278195115,-0.226734787203066,-0.603906786139041,0.206707757780478,-0.239568940287255,0.0988141228733464,-0.144850801415138,-0.373425434680226,-0.114567255516259,-0.0920042523877867,-0.175303611536609,0.487135380451574,0.46416702340166,0.435996954305034,-0.0778239669203676,-0.0035995956928186,0.100788650635589,0.218080463325922
"X1071_M_liv_no",-0.00658032654741274,0.0380059767037731,0.060248091895894,0.0683204281959431,0.0614480583453947,0.0605801755983427,0.0135113195317531,0.0633659043955656,-0.111683045497939,0.140459176728523,-0.0679031602174903,-0.036356198401098,-0.0750093221747483,-0.0615773783216683,-0.0824599527261992,-0.00817275994123513,0.0414435719808437,-0.0162089321398071
"X1155_F_liv_yes",-0.0349773494455229,-0.00926819204661849,-0.0845817667111464,0.0301586652210283,-0.0375333275109992,0.00240482583630416,0.0328104412984298,-0.00812841871558862,-0.0633654123463626,0.0942289065457676,-0.0491222048141741,-0.0480491348674132,0.0383571367321423,-0.0271720628862367,-0.0829301135465343,0.0223894674501204,0.0901122352449351,-0.133473476619508
"X1158_M_liv_yes",0.204989327009426,0.231350073671479,0.167144873741639,-0.184473891857455,-0.035849477347093,0.0116152614030736,-0.0988029392689877,0.0134753076565531,0.11356233275739,0.0227046986837568,0.172198459851387,-0.159129439846057,-0.0705227532646054,-0.093465053846892,0.0343120629275097,-0.0352196759806447,-0.174275765642096,0.206119736203584
"X1168_F_liv_yes",0.189263176203972,0.124900799488862,-0.128564114588506,0.0990763608093654,0.078244497244759,0.189633451189375,-0.0109726709178663,0.0361693825303968,-0.100551860512548,-0.115648050436406,-0.108813878114683,0.130296620547853,0.161685341823068,0.0678292909785832,-0.0912953891786633,-0.106881059330133,-0.107682294546692,0.223140887152928
