"","MEpurple","MEsalmon","MEcyan","MEblue","MEtan","MEyellow","MEgreen","MEgreenyellow","MEbrown","MElightcyan","MEturquoise","MEpink","MEmagenta","MEmidnightblue","MEgrey60","MEblack","MEred","MEgrey"
"X1170_F_liv_yes",0.256114910053853,0.143061096858759,0.0413797474335286,-0.139853314435297,-0.134816877884062,0.0271040901333948,-0.0844650449677257,-0.115297046024732,0.0687006242314242,0.0421645010015936,0.152589071276552,-0.0588888276386166,-0.029369836384859,0.0557831584478347,-0.120230346296338,-0.0762600665352956,-0.23955708117688,0.169983616839743
"X1165_F_liv_yes",0.163943447847387,0.0812764551795115,-0.0553491758449897,-0.158523361324338,-0.1570749578344,-0.0371840521280599,-0.159208894861697,0.0390179359704957,0.186429141012804,0.0427256368869188,0.129468856624636,0.201751081644736,-0.107130048032453,0.279174415962812,-0.234261928300633,0.0119952124570116,-0.0794839466643967,0.232913691813796
"X1156_F_liv_yes",0.0167266512958378,0.104244394400731,0.100927308945033,-0.142268898263343,-0.0602535455383727,-0.0771010932468003,-0.013220329616204,0.110459077781973,0.0701669815246524,0.0536756979113243,0.121560720660998,-0.113994712137592,-0.121766739335661,-0.0645557235146246,0.0209117464225774,0.00151411629323061,-0.0716472393830303,-0.0507547594119438
"X1171_F_liv_no",-0.0270423819273921,0.185648856161935,0.154458370987779,0.285365902720714,0.302826500395012,0.298023728922606,0.283704421520814,0.250000353662744,-0.148110381606535,-0.374683843687701,-0.287858889110169,-0.0573890410571891,-0.187700512537151,-0.326080913949975,-0.0769104355877822,-0.245926334199057,0.0558475730549025,0.027303553766772
"X1109_F_liv_no",0.0286363593818274,0.0706973143843987,0.0230896050186942,-0.171213402984194,-0.117180452183466,-0.072528104962871,0.0618569160008646,0.0608565575651633,0.0451947473529394,0.0510039017597378,0.16154110362675,-0.0883534068463526,-0.026853140695745,0.00798831065274602,0.0309768124779519,-0.0576674098390597,-0.226977276863585,-0.0340292051758623
"X1164_F_liv_no",-0.168008358538926,-0.283136478140053,-0.0670391564495738,0.166555786770348,0.287934546630472,-0.0845351357548841,-0.107351339200406,-0.304730487324153,-0.19560567659192,-0.120320980617939,-0.0800999224030258,0.168422859670573,0.432366206083753,0.105131507067362,0.506456310617233,0.218859408231432,0.267029090979842,-0.0449984435101903
"X1010_F_liv_yes",-0.107233842848957,-0.353116718729512,-0.373125471267089,0.108965230535304,-0.0987781982116128,-0.120380323044772,-0.129316551350767,-0.283954650006972,0.00872097553866688,-0.128529909638568,-0.127380578014274,0.442673475953636,0.310538824410394,0.409392233032276,0.124729136974346,0.149562986750794,0.172800977116403,-0.0350576843329854
"X1154_F_liv_no",-0.0392936796443073,-0.00471906481820399,0.149912836913247,-0.176147093446097,-0.0325486069569568,-0.154377826373204,-0.0786209146347673,0.170121386612499,0.00897782116356517,0.0259460487050307,0.186802395072357,-0.188311897914052,-0.0490518670217016,-0.0394911038264442,0.0879018632924956,0.188972526995362,0.064716855115158,-0.022760212108848
"X1152_F_liv_no",0.03871297492787,0.0602960830578202,0.0724843786194308,-0.115380395330924,-0.0571875899252253,-0.0718040993959262,-0.0623074250569916,-0.000500441584676536,0.0485034345416371,0.120392116323371,0.116105148924536,-0.0709504788460194,-0.0227651561391633,-0.0394263877619493,-0.133492656170978,-0.0223484081848385,-0.0829317563269094,0.00622847717631318
"X1108_F_liv_yes",-0.340091005050439,-0.378734352774697,0.0758794523033147,-0.159790251024477,-0.0639604900060547,-0.40433488809269,-0.103251582059093,-0.0621937566545134,0.0341513636381237,0.0763031909285233,0.155825777274882,-0.183541088211524,0.0545170585348709,-0.00443602388235387,0.134361664834409,0.260584263446066,0.228086702002752,-0.350754131120358
