"","MEmidnightblue","MEgrey60","MEred","MEblue","MEcyan","MElightcyan","MEtan","MEroyalblue","MEsalmon","MEdarkred","MEgreen","MEgreenyellow","MElightgreen","MEmagenta","MEyellow","MEdarkgreen","MEblack","MEturquoise","MEpink","MEpurple","MElightyellow","MEbrown","MEdarkturquoise","MEgrey"
"X1170_F_gi_yes",0.0743093865531724,-0.140268283211809,-0.0288363159878903,0.103474693391942,-0.022359937027789,-0.0504088448737849,0.0146567316639126,0.042645040848085,0.05588990432526,-0.0392215577590157,0.216235999061495,0.00757416145009858,0.0424346364568933,0.0185651497657019,-0.0374188513194696,-0.173838422438976,-0.176769824027314,-0.0963956152836528,0.184787165202059,0.125619514495251,0.163181073736601,-0.0211422217999118,-0.0684601942536638,0.103301271086821
"X1165_F_gi_yes",0.217137206454082,-0.184087953213445,-0.0145408970330004,0.0564871087089344,0.00838117249214609,-0.0613084636818735,0.124928451542694,0.0777297552684409,0.0612100016510375,0.0588552966539726,0.0227944959915325,-0.134122504224386,-0.108737273291029,0.0299268777413613,-0.0707113829835139,-0.0831052877295825,-0.096725163851182,-0.0356160950539125,0.151019114658018,0.0449628650831678,0.194643820882731,0.0293733584633971,0.293443388983249,-0.0521758382930673
"X1156_F_gi_yes",-0.180964268945755,-0.149516601834725,-0.0903051939984614,0.0324641027540611,-0.153377614941697,-0.0733896959251706,-0.221482881683295,-0.0776341224211018,-0.179011281515958,-0.109404220087352,-0.104740907734864,-0.128022907811109,0.389982806825728,0.122916771644387,0.1023581981908,-0.1558224743361,0.0155561899851665,0.031774569860674,0.00746127966731477,-0.0634098459176113,0.0380958555018452,0.107692584523627,0.082666833535748,-0.0504344424283485
"X1171_F_gi_no",0.175608574548067,0.283253041422573,0.316999335434615,0.0615730124785464,0.0718534204201578,-0.0792048087682824,0.104302804408475,0.0302399092098719,0.202696931017269,-0.171191717390122,-0.273852987513748,-0.116893923046659,-0.147559518684775,0.155364019033567,0.26799355921973,-0.101503301457024,0.198854868687589,-0.0806462372830567,-0.34946681974247,-0.247373689735582,-0.114453723069943,-0.323606285654438,-0.155558671638194,-0.336599095749937
"X1109_F_gi_no",0.107300664387769,-0.161184467078495,-0.0851080050238242,-0.114231516295464,-0.117278192756631,-0.0384819483502687,0.0248548662197196,-0.0497620799344171,-0.110930880367002,-0.0786602682704377,-0.010335978669068,-0.108639708962763,-0.0228344073636864,0.0815105780254606,-0.0691085075086318,0.0418092760559774,0.0976529655642455,0.13327207244643,0.0616117710607095,0.12844608812531,0.163761951556181,0.105174307971918,0.105589131706838,-0.0265969829280856
"X1164_F_gi_no",-0.323926695995635,0.127046696325076,-0.0562358691388518,0.00966901497572092,0.0925515306876405,0.934317769986402,0.324087545853958,0.649308693773624,0.294371445062588,0.171896932908836,0.255875394767936,0.248949389650285,-0.238385558691585,-0.74609853680274,-0.407190651211721,0.0631572929018168,-0.211435684466917,0.0336699085026928,0.0509293852656441,0.332254248853634,-0.369684197331243,-0.121723763421981,-0.0832258945233653,0.297090444743109
"X1010_F_gi_yes",-0.34650535350101,-0.0323695287237742,-0.243772603602754,-0.0995094099545113,-0.0433918890759417,-0.00881463798371432,-0.254522795194211,-0.0874974578245272,-0.318357651237295,0.160101635025665,-0.21272015339344,-0.0363590669803239,0.228450550431466,0.0228990880559639,-0.0253235663640692,0.243815348286753,0.0674071553000253,0.137950599509448,-0.0100251945614685,-0.0577098714163907,-0.155484931205613,0.293247887259429,0.33653459529829,0.0379989649501897
"X1154_F_gi_no",0.0620613472170901,-0.143567131403211,-0.10499357741476,-0.0894723124670395,0.138168271038028,0.00448227786214639,0.00876622240906942,-0.0122164556394894,-0.0428834088427871,0.260688612809501,0.168954221243492,0.00194067375467059,-0.0261606099891126,-0.00448074913667884,-0.115638511283074,0.198623346980487,-0.026502628404791,0.0709578295493928,0.17782750780904,0.163050051067651,0.106242273103228,-0.118599849272272,-0.120339813044332,0.137349705813987
"X1151_F_gi_no",0.19551338258146,-0.140645256044114,-0.0691042571526277,-0.113173923231882,0.00380442371127827,0.0284926668886159,0.28417504615964,0.113522440847132,0.114322005126421,0.142990149780131,0.151561843358603,0.0267347574506298,-0.173998660937587,-0.0901385060025036,-0.171690223553532,0.0451769862353669,-0.0635023314981788,0.0385530358193469,0.152758066454881,0.211477906103681,0.156254108978392,-0.0770257919544568,-0.0419925412318156,0.114365978173516
"X1152_F_gi_no",0.211120428542154,-0.11885257007826,0.078998937318318,0.1401441485191,0.0548315540008931,-0.090198654732389,0.0157787255725715,0.0532182978410738,0.0592167490864258,-0.0673932731233073,-0.174717929984498,-0.245190094272581,0.0673498582628449,0.195117979710768,0.116475417854363,-0.12099375844056,0.0343152390738559,-0.121785152170094,-0.237010997332209,-0.126547503178703,0.250101272320932,-0.0451865253975378,0.17645144910193,-0.252176230334948
