"","kMEpurple","kMEsalmon","kMEcyan","kMEblue","kMEtan","kMEyellow","kMEgreen","kMEgreenyellow","kMEbrown","kMElightcyan","kMEturquoise","kMEpink","kMEmagenta","kMEmidnightblue","kMEgrey60","kMEblack","kMEred","kMEgrey"
"Gene.1",0.308771192907788,0.153147631485729,0.141616859417533,-0.690932816073702,-0.536012162368237,-0.385258007979531,-0.426038195858465,-0.164665465467473,0.672792075865256,0.334107650994563,0.645515438652937,-0.188080602761778,-0.247741301021396,0.278630134199701,-0.348682424560578,0.0741826369189992,-0.399436723998022,0.277944651769168
"Gene.2",0.574672022338025,0.522016385968969,0.227555381098219,-0.554158891376329,-0.352473107574808,-0.037632909696648,-0.360769006521141,0.0459033125995744,0.273787961171054,0.150092275667098,0.505346314286344,-0.212425162438289,-0.226170485580077,0.0591630949467412,-0.373123465664125,-0.0993187779054906,-0.458005481544392,0.556717436768156
"Gene.3",-0.219133562691921,0.300074093930726,0.465521107209109,0.231253310677921,0.391730213822683,0.289744336380964,0.650843086102485,0.691580201685956,-0.167210364438876,-0.207438564701367,-0.271175548177121,-0.239170893202206,-0.62284618134136,-0.605081202917618,-0.0903799707016945,-0.394362658868181,-0.151347781522953,-0.323313412443078
"Gene.4",-0.0936084601502386,-0.280256723926487,-0.0220123122290169,-0.497230439572818,-0.441565001897181,-0.5713276034534,-0.431857102016256,-0.315190475461761,0.460591048176812,0.462457892543103,0.509168090284852,-0.248364421259088,0.01161362270075,0.253031715051038,-0.203502283602605,0.370704181857079,0.024343683002715,-0.114152238937058
"Gene.5",0.017577042074161,0.30471453107896,0.030799333811777,0.747003814521307,0.647422017320141,0.768023229229054,0.685005484117345,0.417348665084316,-0.536390178793083,-0.538497243391875,-0.766692183522366,0.266569696692843,-0.198832007213853,-0.412337249740042,0.0918985077155901,-0.550253988022409,-0.00696665993050515,-0.00238083785946693
"Gene.6",-0.333313480728041,-0.200299972793144,0.44779760809412,-0.552339574598141,-0.213368268406986,-0.666734076496987,-0.291427418158204,-0.120914956947188,0.184194378097059,0.648451296173161,0.588545380668097,-0.590688356632917,-0.187917302376264,-0.107656791744528,0.102707393016798,0.488598902808936,0.109317974928114,-0.484246247263244
"Gene.7",0.219339730569227,-0.00531567318274663,0.176553834556691,-0.774891025966007,-0.453168016025659,-0.580659125289937,-0.620263413510501,-0.405352160546168,0.505639648849466,0.44681387731871,0.776649692157725,-0.225564202074487,0.00707393153776515,0.372386081843722,0.0500386972277363,0.384969415526357,-0.208600931573957,0.172612784245778
"Gene.8",-0.300581139377391,-0.314347274722374,-0.103491930274696,0.286037714114754,0.184907354457155,-0.0117279292143052,-0.0479196189900585,-0.0721801362018201,-0.129329353280625,-0.131670052380047,-0.265485324851009,0.110962916749793,0.117422990427442,0.00614626364048188,0.0568104228313193,0.226761931041981,0.457337564280976,-0.148211916886994
"Gene.9",0.176922383050647,0.512752125719598,0.0446858150144032,0.579789660972111,0.391517508352858,0.80575835588063,0.706831800819324,0.724320501408047,-0.318121604381148,-0.444128631398152,-0.646227671488383,0.105957140884393,-0.368079527793282,-0.491321922629582,-0.320929932332795,-0.683271732260018,-0.214586000978046,0.14422254589312
"Gene.10",-0.406137493570078,-0.611264951894334,-0.0749865343412293,-0.124947997581461,-0.0190419199875942,-0.550872761098083,-0.45415267099311,-0.501141273696098,-0.0813026898898677,0.332864218658568,0.21627092236866,0.0336067805717048,0.492990894811814,0.349641449386031,0.548608751131848,0.726669039734548,0.51246511397266,-0.304794869391212
"Gene.11",-0.358162910764633,-0.171081252245438,0.0481070787657631,0.732016760252637,0.764963585650151,0.392566923416426,0.437138423341193,0.0570490641772495,-0.595294600728032,-0.60520152481562,-0.699425353910936,0.216474904481515,0.0288947587188735,-0.323839027719885,0.512351628260667,-0.0609691425650261,0.481974494497035,-0.275843925177683
"Gene.12",-0.0558855436573935,-0.332624116334098,-0.0887397823215542,-0.282499540449659,-0.331917557265767,-0.41994473666057,-0.424507146330848,-0.446204478451709,0.0129466064771258,0.271834292882224,0.325695211796925,-0.0222281706421754,0.170314395372218,0.306660407445418,-0.0771382611719548,0.342354281440567,0.105473064629996,-0.0507088182843016
"Gene.13",0.409546518357181,0.0326492323522182,-0.129759995003577,-0.483486406153,-0.425192856043682,-0.275981895729586,-0.663689629089389,-0.427810147988703,0.176028334495815,0.199854073580855,0.513262984015494,-0.137569646810531,0.35602514569718,0.321723309738376,-0.118723401047905,0.271959906779177,-0.104795720961053,0.487326120264762
"Gene.14",-0.114519642685814,0.0579170449281443,0.322095260641383,0.0698685711103712,0.268797536452734,0.0413496128595648,0.0668164554138988,0.223765714774678,-0.178404688719745,0.128202181807828,-0.0519586935907694,-0.180874854836464,-0.209710958451584,-0.19231306718685,0.0842322478206224,0.108417629332643,0.114782304730881,-0.11127256097917
"Gene.15",0.0423967900711176,-0.0085140816487056,0.223720967448968,-0.476593067180236,-0.18636580133932,-0.400909254045434,-0.478154565716105,-0.146936729006141,0.118061859916087,0.343390654808153,0.526418768641494,-0.354691184476352,0.113299125232387,0.0500041214441551,0.0928332512950475,0.375741258379584,-0.0125275525159371,0.143863148419915
"Gene.16",0.150843558722616,0.112748429600653,-0.20937910310965,0.380096584664165,0.154218918262254,0.434199054708218,0.405477600940481,0.0614534317946268,-0.289646945663357,-0.351973975776312,-0.383402318371894,0.303537534556169,0.0646623848545005,-0.0675219092462208,0.026324262766562,-0.462212289523467,-0.282769499858541,0.0798981189946087
"Gene.17",-0.234429350350887,0.222654722815516,0.306475817975147,0.746406627549594,0.912699108687726,0.634252023869455,0.78035467013817,0.461647602257697,-0.620557875320905,-0.714229463159892,-0.749445304497387,0.101859469499997,-0.292747262993152,-0.640366044397922,0.439335858175521,-0.441120214865311,0.123885941994271,-0.257432238794639
"Gene.18",-0.499808782453882,-0.401526628717195,-0.317554885553714,0.832360561444222,0.485831966122302,0.345958219650192,0.498392337570387,0.174173050270376,-0.504478174001496,-0.441478082836505,-0.799682174930316,0.48823611580975,0.196694607049024,-0.0933804659787077,0.215816667106125,-0.0886056536733128,0.550872851771156,-0.377492397272059
"Gene.19",0.585712919962684,0.303197772740747,-0.237902000897418,-0.221892531877539,-0.368807484908849,0.157559434874447,-0.264245383660526,-0.180342477527889,0.224614733142691,-0.0656027904450799,0.177264772345194,0.0227112927955514,0.121185801508153,0.153354373421611,-0.422231337179764,-0.235362757605034,-0.374610684105883,0.601261132892204
"Gene.20",0.12093128890026,0.563436176348771,0.905547853282997,-0.351422133339875,0.287314108424229,0.0120000991767214,0.190492947963765,0.405741501396078,0.0348767285701589,0.0401678176456901,0.335440552636475,-0.714950851819751,-0.721258828176757,-0.652578357210126,0.036427787672157,-0.187890351204991,-0.427359482187279,-0.0414124599681075
