"","MEblack","MEgreen","MEpurple","MEgreenyellow","MEmagenta","MEtan","MEblue","MEred","MEyellow","MEpink","MEbrown","MEturquoise"
"X1170_F_kid_yes",-0.023386130890015,-0.152104730468801,-0.193822679689424,0.0855896271633096,-0.147532083535971,-0.099963616588549,0.0287885682361971,0.124200904083794,0.158899086810963,-0.0760467779362025,-0.087555634478166,-0.219492499573259
"X1165_F_kid_yes",0.30230228869582,-0.136117131656506,-0.170495110280755,-0.0422794614839129,-0.196473218204293,-0.132648987308567,0.124330704668173,0.119074464688724,0.125941173600234,-0.0955947239520856,0.00773122795996806,-0.0594049525404403
"X1156_F_kid_yes",-0.108055722255529,0.0825758454258142,-0.0122998545099882,-0.0501845206889672,-0.132220171946611,-0.106912960064059,0.0790376477473158,0.0958701751470299,0.0712778879324554,-0.122829264777939,-0.033221976655596,0.107601909670787
"X1109_F_kid_no",-0.148567806112632,-0.0357076953027699,-0.114562388382737,-0.141071195378403,-0.0463732306997555,-0.152107321403348,0.17710403880045,0.124892590202589,0.0890172075283733,0.0959514009405698,0.122203430386957,-0.0265591473197516
"X1164_F_kid_no",-0.152770676060795,0.223800992384893,0.308779906209167,-0.0681205735481668,0.314710053053174,0.0932902329852895,-0.0520676764199461,-0.121955383677528,-0.173326313354877,0.442613167878099,0.267861098935359,0.134739009082645
"X1010_F_kid_yes",-0.123420022640976,0.225146161685919,0.223939873573911,0.061578521674128,0.326108071106415,0.0433156441552407,-0.0902534184577189,0.0300379830215147,-0.00908708747549462,0.340412482533021,-0.0846573535168705,-0.125175251477238
"X1154_F_kid_no",-0.128075459829389,0.249280728965747,0.157597062506796,-0.109956445713529,-0.145370400306982,-0.127870406829137,0.130103878643265,0.138795487608618,0.121200500593335,-0.0888976947098448,0.00817859271649239,0.139209310645008
"X1151_F_kid_no",-0.124677359037522,0.0737833265458578,-0.0661870665111296,0.074474360201811,-0.117442084010599,-0.124083059045431,0.0640251570063779,0.165497828506728,0.216280058163437,-0.0966747392899515,-0.130699182778939,-0.188685080874986
"X1152_F_kid_no",-0.149543225388233,0.163528253271774,0.0458044433356414,0.0693983494614869,-0.0594106575885604,-0.106744539178437,0.0379076842305917,0.145010165943612,0.203274886841103,-0.0658744277244735,-0.172376814077076,-0.0992219140269822
"X1108_F_kid_yes",-0.155390850589803,-0.119987981531855,-0.160108405400579,-0.200289531104007,-0.10082739384629,-0.139926796960299,0.156375312845743,0.0704979063907421,-0.0288289267600828,0.00538886536725045,0.209145160440957,0.0984928522818894
"X1051_F_kid_yes",-0.150799324361023,0.0446683384373771,-0.073048697757975,-0.202018860980236,-0.151811889924941,-0.168324841510971,0.173187045326874,0.142360172508695,0.0391907356316692,0.00422820605029997,0.201279420684553,0.0119871488553574
"X1157_F_kid_no",0.0229709207764431,-0.653661235395476,-0.331205182513668,-0.413981383775438,0.0892983438424578,0.304240048746107,0.00741286809438635,-0.507868375937646,-0.62653019541059,0.037094404263664,0.519705806343423,0.770011551572728
"X1175_F_kid_no",-0.0620880614137296,-0.144681153159265,0.312880453416062,0.381977242789166,0.091356600360328,0.476963218620478,-0.493192194673889,-0.464214029435169,-0.365406572837764,-0.309755851899543,-0.22168991138982,-0.0584058120843823
"X1174_F_kid_no",0.186530521980877,0.262135856669368,0.418432595371705,0.275707843055967,0.0663607985419898,0.234501598934096,-0.294220863708082,-0.174716628012892,-0.104457537231851,-0.218599230627968,-0.221865264595338,-0.0274649840064205
"X1127_M_kid_yes",-0.153855152085482,0.155277067309062,0.121144776678401,-0.0877197733089253,-0.203555426330055,-0.16606519600152,0.153077363385367,0.14145040339689,0.125783400415939,-0.0720524848745078,0.150543335799177,-0.0323164745823664
"X1119_M_kid_yes",-0.125816428823588,0.130106555702821,-0.00850067182733243,-0.0385106378617966,-0.169390941033079,-0.134284184673014,0.108435166683443,0.151199935613076,0.156982043252941,-0.114858312556496,-0.0242619240896063,-0.0514740467472175
"X1081_M_kid_no",0.358632139445356,-0.00717035643841348,-0.0441507822018541,0.105565754784804,0.336071164476945,0.0654319798714339,-0.0796370723643809,-0.0432304883665366,-0.00132319392117864,0.385440259432477,-0.106202411673539,-0.0581039677056964
"X1132_M_kid_no",-0.107787637678952,-0.194632179078626,-0.21654220686014,-0.115176915524406,0.167101649629135,0.0318134921001482,0.00362416578056986,-0.062146161647669,-0.136049137329163,0.116412579244885,0.108267656859704,0.0336159785949008
"X1105_M_kid_yes",-0.128562611308599,0.169116101970095,0.0775500159795745,-0.145365190253588,-0.204151263093597,-0.158236368954809,0.174232095485258,0.132106010252005,0.0992038468045086,-0.0906766110651535,0.123258029214997,0.0117575313262486
"X1089_M_kid_yes",-0.160187469062314,-0.0555210712841174,-0.190521451032334,-0.333613958790721,-0.129582981455856,-0.139850265279881,0.254775870793875,0.059381016873579,-0.0367138784814354,0.0378624698769877,0.295773250411988,0.28150875453634
"X1192_M_kid_yes",-0.132449849902634,0.090540161674409,-0.0039888830033353,0.142128492298998,-0.150628836927014,-0.111433904347573,0.0313019169016188,0.153917113255275,0.242568060743026,-0.106897341898278,-0.154844574592885,-0.278676951347609
"X1169_M_kid_no",-0.0664311175957907,0.0686576803200013,0.201811393832487,0.276389675643675,0.286386603507396,0.346677565938143,-0.294241160016355,-0.230046782619912,-0.143359174934171,-0.0632101121110837,-0.213802984584995,-0.0687901699967273
"X1148_M_kid_yes",-0.0617581451661954,-0.00095221359388108,-0.113445716884394,-0.00115200060535772,-0.115357438240527,-0.101382182579518,0.0917246414930843,0.103113359911863,0.128134399090805,-0.119146625659146,-0.0561862882638179,-0.0127390732368813
"X1138_M_kid_yes",0.279082155274217,-0.219625735119459,-0.214678714379652,-0.017552563383568,-0.126276407371583,-0.0816070522922647,0.0506157674839416,0.062734690779345,0.0901920071874679,-0.0840230421930235,0.000294860521310544,-0.14956618629987
"X1139_M_kid_yes",0.331810550637098,-0.170466415454086,-0.280967643724911,-0.166734078807957,-0.167656718554972,-0.13482769500985,0.211105213166938,0.107452752371477,0.104269353798181,-0.0452283143027627,0.132820861317993,0.0732885077761211
"X1013_M_kid_no",0.452876293139515,0.0739247013518674,0.0814483464509805,0.143094622926769,0.20929338188223,0.00603076421687127,-0.101709936852692,0.0426230108580336,0.034437673905296,0.224890951290502,-0.104001795268204,-0.179083996710956
"X1143_M_kid_no",0.177701777690634,-0.124469359719672,0.187403204122794,0.354010819111934,0.11035226483015,0.409000025952614,-0.439427898068831,-0.377121833359978,-0.276422663459734,-0.275868753868746,-0.223005308565659,-0.0210764889293485
"X1173_M_kid_no",0.151716402563239,0.00255548648791767,0.0577333834826906,0.163811782096931,0.367022211840463,0.17500480650681,-0.212414886211575,-0.128916288356255,-0.105147641103392,0.355939522569452,-0.312691307062367,-0.00597555688188946
