"","MEpink","MEmidnightblue","MEpurple","MEcyan","MEgrey60","MElightgreen","MEdarkgrey","MEtan","MEdarkred","MEblue","MEdarkgreen","MElightyellow","MEblack","MEturquoise","MElightcyan","MEdarkturquoise","MEorange","MEgreen","MEroyalblue","MEgreenyellow","MEmagenta","MEred","MEyellow","MEbrown","MEsalmon"
"1170_F_gi_yes",0.052270217672514,0.00766464402674516,-0.0433429109784055,-0.0987303575966186,-0.0913810049570797,-0.0731335641145627,-0.0383833130518581,-0.125700455160954,0.118946727348631,0.158098616186701,0.0989406365570176,0.111515983150406,-0.102306400867688,-0.0512424401421803,0.0241195842015813,0.0555315360750747,-0.00434620388275529,0.0650128816045501,0.0698700512685036,0.0185657643322014,0.032791232080287,0.0454221803475252,-0.0439748924481965,-0.0476091789594536,-0.084426886597147
"1170_F_hyp_yes",0.0184247492188712,-0.00428153489365379,-0.0500883016495044,0.0471436433111618,0.0920667165063058,0.101358830047348,0.149718258268688,0.108575270844544,0.0033806429867651,-0.0488275127201699,-0.12232194829062,-0.105365846822446,-0.0919242498756526,-0.0484513774344421,-0.152025349604657,-0.0879790749502711,-0.0955464380541088,0.0321586360443936,0.0970657520015422,0.0650795361955892,-0.0758744551711625,-0.0816327963291954,-0.0433611189233909,0.0256535883069342,-0.0625388839698293
"1170_F_kid_yes",0.128654300440758,0.106873577125592,0.177714199408656,0.0648689318365341,-0.0529219317085309,0.0962832459549897,-0.0381597042184514,-0.001300718702169,-0.0551229843019773,-0.0314290401458307,-0.05297770266843,0.0637503111248293,0.0602114651973389,-0.0358783665068983,0.0266771182523651,-0.0287201683830235,0.0724365156107168,0.0313790580342237,-0.0507742895803953,-0.0381381636705718,-0.0385687560851542,-0.104772755768685,0.11002972268381,-0.0333172823895924,0.0160235501751845
"1170_F_liv_yes",-0.114731208223516,0.0106598888779869,-0.0108537432617449,0.0958346189533655,0.0913447898250519,-0.0683490951332776,-0.0623505014714492,-0.00224818786131267,0.0270483364659464,-0.0650155674880356,0.0121020690608477,0.00563796772394031,0.0999320765450375,0.157787481200488,0.0718443328640113,0.120369750037668,0.0838828778971336,-0.155730798309684,-0.115002951631035,0.00388287312198765,-0.0355035095497722,0.0815377024160997,-0.0799006390886046,-0.0699921009235342,0.0248845103352587
"1170_F_lu_yes",-0.03918849557453,-0.143866780030704,-0.0404174001059461,-0.0855128924502823,-0.0383171576094375,-0.0164722005549987,-0.00532639442436541,0.0469054772742646,-0.0967988406340088,0.0148713851708388,-0.015569456361459,-0.0561075126788867,0.0243148311140718,-0.0201063094797986,0.0345131308221008,-0.0748504265147315,-0.103276599261782,0.061641375531624,0.0207120644191588,0.052665580065611,0.159120305996659,0.0965470469148955,0.105423528992033,0.151545304331042,0.134988190549283
"1165_F_gi_yes",0.0518084816452225,0.00639717193695833,-0.0472084900205101,-0.110045975965198,-0.100241501263874,-0.082870694350782,-0.0444155927754611,-0.140853146668206,0.127261638661486,0.160327945856518,0.114505719911535,0.115265697044278,-0.108319102486886,-0.053446740006498,0.0283596885138119,0.0552494795897846,0.00602767725544617,0.0618791091897594,0.0662561645580857,-0.0211971848169285,0.0399474232842312,0.0399618910099875,-0.0562940270986201,-0.0564616644563567,-0.101905820601008
"1165_F_hyp_yes",0.0231571398664916,0.0112326920770539,-0.0497233563127008,0.0436827313320262,0.0921638629691621,0.1021884457546,0.156326408373102,0.105018903024093,0.0197645283152979,-0.0489368817853451,-0.0932619348418838,-0.110442694661014,-0.0895259440254354,-0.0497805308261814,-0.154736773113552,-0.0855928501826525,-0.0728338459758207,0.00354585720069465,0.10170065582644,-0.0272953784880353,-0.0817680018478744,-0.093271034948286,-0.0493164989582371,0.0234993124461636,-0.0753868372004221
"1165_F_kid_yes",0.127957320389227,0.119357989262285,0.176851141504783,0.0598996327506047,-0.0546131700654783,0.0924671202310132,-0.0432163234002032,-0.0119576761035194,-0.0461017736769428,-0.0335001850400328,-0.0403318966643457,0.0655796077126219,0.0584557779695636,-0.033635507605599,0.027298101374461,-0.0213836645665596,0.0872823618833564,0.0270123518524892,-0.0546000897557746,-0.0750131537932302,-0.0430288364221246,-0.106266914527036,0.104923246708476,-0.041560064386177,-0.00180622125676946
"1165_F_liv_yes",-0.122278100659347,0.00441577667290756,-0.0180910065534777,0.0773894383028476,0.0856145425850065,-0.0774751823283582,-0.0678866518410141,-0.0100315421961688,0.0226737065628563,-0.0653609333683722,0.0417247072405998,-0.000839487281021956,0.09798326254058,0.160825045118358,0.075831883801274,0.132280924107911,0.0890753684049674,-0.158163058499412,-0.121949818781742,-0.0224554243536826,-0.0284513103661911,0.0873432378667688,-0.0854131175528959,-0.0729552430512935,0.0269278387173655
"1165_F_lu_yes",-0.0500228031268914,-0.139555048393636,-0.0458246264733104,-0.0930525280200667,-0.0418099904842843,-0.0307416358224529,-0.014723061351775,0.0452601785932401,-0.103637020106802,0.00753519503831228,-0.00765289401719605,-0.0604653680265531,0.0187069363549283,-0.0233025016760719,0.036899444808102,-0.0754078659646341,-0.0967440045555639,0.0464143398625658,0.0116004593794574,0.0299924585516148,0.164011692243539,0.104632279778001,0.0957800856123797,0.139333170964659,0.131410695459488
