"","kMEblack","kMEgreen","kMEpurple","kMEgreenyellow","kMEmagenta","kMEtan","kMEblue","kMEred","kMEyellow","kMEpink","kMEbrown","kMEturquoise"
"AARS2",0.0704064225385003,0.0890088256084591,-0.44778675813491,-0.288528904345307,-0.279107160942652,-0.708341394319245,0.586614415783331,0.711242821731003,0.628407266049882,0.290288335372526,0.136376174976323,-0.399280665624654
"AARSD1",-0.316544042742414,-0.237279093944704,-0.469777322427802,-0.526533379111802,-0.701247448661194,-0.443146523000663,0.57576331838095,0.318941397341106,0.198837863202949,-0.442643364784435,0.521998342225104,0.159673818448396
"AASDH",-0.223465070108206,-0.0514662614234769,-0.41122265290782,-0.488654298055579,-0.428109769269006,-0.442707574725363,0.564424140989941,0.381142627562735,0.292005369455266,-0.1750284062284,0.325006113257823,0.185242249014085
"AASDHPPT",0.0335508299641306,-0.0681980271625093,-0.355643405912525,-0.125149119626401,-0.388494097163331,-0.3102583163913,0.279325883807468,0.303113625130302,0.30585416315372,-0.306355909127608,-0.101289539972231,-0.00510632991345841
"AASS",0.0697447822602198,-0.0197282667329289,0.32249603078234,0.327182687535228,0.182481521359369,0.561828235804829,-0.473705244142172,-0.510598053322529,-0.385859232175041,-0.36289666797622,-0.244787129012754,0.200944308851822
"AATF",0.233467045741195,-0.487794587964848,-0.0507994846694924,0.210347812337907,0.278342672076652,0.590119777435241,-0.469797414614619,-0.631945321435831,-0.577950672203119,-0.198387407189108,-0.136833455429119,0.265851319880819
"AATK",0.0260796497537711,0.334188498529065,0.288916427865251,0.581220736996591,0.401529146677175,0.109624640134112,-0.360511850647229,0.0942835995095993,0.241276550962948,0.272368342211438,-0.597931741125434,-0.652114570403013
"ABAT",-0.19960007783249,0.360298114889485,0.349363268306534,0.414732639470696,-0.0929595517941946,0.0739972569641047,-0.217362913613772,0.0786156020612787,0.219721509288525,-0.422880510904954,-0.384564392716036,-0.42554176322548
"ABCA1",0.00592687248648436,0.0227577738587567,0.556681868509107,0.553134646585465,0.0990817632548026,0.66809451370061,-0.66981054542833,-0.592631269392056,-0.424502599787906,-0.59510966243716,-0.321551274818522,-0.0202398073031487
"ABCA13",0.0766747850582341,0.450525621261403,0.772105971333793,0.48416692645537,0.691626387768954,0.515832241068524,-0.59591255212937,-0.386236503079781,-0.308850939983633,0.402978696960075,-0.304942892505889,-0.0974984247717719
"ABCA17",-0.145186430047254,0.143421290322218,-0.46012435698573,-0.379709116883123,-0.620503371721834,-0.842491309816916,0.755619034631548,0.827452706884642,0.781809103041527,-0.0463421707806584,0.172642359105407,-0.30154330450211
"ABCA2",0.142082293556642,0.445721794062427,0.510093345430626,0.810810269926785,-0.0100235924616052,0.149084170797507,-0.450094261080509,0.0931617884992782,0.365331273672087,-0.368748419647623,-0.761317013555209,-0.793179591932897
"ABCA3",-0.0560620665752471,0.40286538387585,-0.256507121444429,-0.0547331395714941,-0.474022161216808,-0.755284748006498,0.557966381372362,0.863341342439744,0.927097192960733,-0.0221515382441488,-0.227385277278232,-0.542650404308059
"ABCA4",-0.182696465019969,0.233461443120051,0.0474789710226963,-0.0959452323432363,0.00833150330704531,-0.248513151134452,0.207983333693675,0.263284855517376,0.228824928038876,0.248003563580178,0.160900560338698,-0.145425029191082
"ABCA5",0.0676027625510534,0.664624245316023,0.379918636371085,0.39375612586374,0.031934853055227,-0.231291682597918,-0.0544771577084684,0.419563014015356,0.538449558913781,0.126928137144735,-0.581992039281918,-0.552780584564878
"ABCA6",0.0617814996028442,0.216000757492093,0.505715409761731,0.578880362182829,0.467326873945139,0.512183436817495,-0.596904688330636,-0.365861212599347,-0.199265681195185,0.0613931171724469,-0.553155614043869,-0.26148409041761
"ABCA7",0.256348282489317,-0.230469242644915,0.245061315057838,0.577153356764927,0.421468263601279,0.667346383866946,-0.707574187251478,-0.581761523971303,-0.451496391126286,-0.164904905842454,-0.397219644246185,-0.180493279965672
"ABCA8A",0.0484225274116996,0.150197738490242,-0.429649376869154,-0.203931922862797,-0.511203134672104,-0.734763372293129,0.597737769581217,0.785465421622193,0.784257487638803,-0.0492118814663411,-0.0576468505274175,-0.437051051669252
"ABCA9",-0.162952942530387,0.532306161511672,0.279202122233348,0.318888577159102,-0.149151531544042,-0.305637372202605,0.0305670507235475,0.46443807108477,0.56478240493726,-0.0925103239085044,-0.404155739850187,-0.632383549208355
"ABCB1",-0.0164562683746889,0.257727472351025,0.425453761400387,0.23869672735955,0.423960484447326,0.35396398309329,-0.394055902442607,-0.264075538617019,-0.264316137230416,0.118292174671875,-0.303131731507166,0.0653966850049842
"ABCB10",0.117908992068859,0.251740359096758,-0.263019898610118,-0.175844560682481,-0.436372396050485,-0.638259728581446,0.529521256164422,0.671871079082306,0.708808041372848,-0.0634516920260258,-0.0901533586395343,-0.245910948140477
"ABCB11",-0.0395290369089667,0.3687771662286,-0.120635981390145,-0.133215783131977,-0.221725449302901,-0.575400381059366,0.416577938234781,0.636094451876563,0.594479100863869,0.205552788406504,-0.156671227330877,-0.287921592616047
"ABCB4",0.329883202724835,0.112288891317567,-0.240181351208395,0.0260045886809647,-0.0828687187229342,-0.330683450936689,0.19551470003356,0.4178916673372,0.423328496756035,0.0900785343240744,-0.290337532921717,-0.327814978340139
"ABCB6",-0.194931028631297,0.0769657003274759,-0.126160462040745,-0.341376869091162,-0.21503086929435,-0.339446836463515,0.391552748933973,0.277756038609477,0.180924054180935,0.0849373530293916,0.450113354132934,0.0302324496621466
"ABCB7",-0.23213473288103,0.595128091618136,-0.00410391029838724,-0.370989771718273,-0.0724185913042427,-0.667642524630593,0.590510283215622,0.692708181703761,0.577400478151726,0.479034418720505,0.16352523855442,-0.0840420373081863
"ABCB9",0.0257389242368507,-0.0145175099350704,-0.479835923933965,-0.327699867563189,-0.729569977536874,-0.636360531263154,0.600149012456916,0.605218935241808,0.586188462178158,-0.338069147841735,0.11668276645359,-0.154838578523907
"ABCC1",0.157985447521617,0.345074955776343,0.620386205702669,0.898448801524696,0.302582247882888,0.448760894902266,-0.715851879872477,-0.219040628229772,0.0312310751496107,-0.229986492282966,-0.778227547024295,-0.640571361088617
