"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000087884",307.514690851744,0.822040378778709,0.226476678929355,3.62969106869996,0.000283760624585595,0.00833719019565202
"ENSG00000136379",560.285958350136,-0.437734467337039,0.114963771528353,-3.80758617708608,0.000140329844125967,0.00592817798365807
"ENSG00000158201",97.1603980077981,1.36071234472672,0.343810193470663,3.95774287839091,7.56613386227144e-05,0.00414425567433465
"ENSG00000108798",102.687373068319,0.888392678694079,0.217244080235037,4.08937577370542,4.32535643145094e-05,0.00287683734080844
"ENSG00000072818",340.071488447474,0.875508661810353,0.239204433240997,3.66008543381921,0.000252131169883673,0.00782576361908169
"ENSG00000172497",1279.12674497884,-1.2831933410734,0.343965300446405,-3.73058950832555,0.000191032258481073,0.00682113020035285
"ENSG00000097021",407.08060359581,-0.661272133817079,0.173618428090169,-3.80876696725791,0.000139661502513439,0.00592817798365807
"ENSG00000162836",973.869267578982,-0.658515101595177,0.134622678678095,-4.89156142234991,1.00039163966784e-06,0.000358553819702267
"ENSG00000115091",6349.91574617387,-0.521981654035304,0.126608359142067,-4.12280561546169,3.74285534665879e-05,0.00261073776965543
"ENSG00000156140",26.8002040237365,-1.42857790289004,0.348899356531539,-4.09452719286084,4.23030764600789e-05,0.00284833024122903
"ENSG00000174233",1190.73861813528,-0.55154401746447,0.135006519952453,-4.08531393638406,4.40172615590786e-05,0.00290678171131145
"ENSG00000174837",210.749062943545,1.28267207939355,0.270583093838309,4.74039993112071,2.1329677835535e-06,0.000487161792828588
"ENSG00000159618",58.4234984616285,1.04976650152894,0.267501108895761,3.92434448538309,8.69662167885905e-05,0.00451813757178493
"ENSG00000162618",40.2482655925716,-0.747519413132788,0.191973591811013,-3.89386584936473,9.86592238956386e-05,0.0047962646797458
"ENSG00000159346",388.588877555908,-0.653508384908621,0.136345474414718,-4.79303319537299,1.64278429553808e-06,0.000411603577410351
"ENSG00000026652",214.162048275733,-0.872027364045547,0.224727967522354,-3.88036866821575,0.000104298251227516,0.00488600142065562
"ENSG00000135744",127.67009788282,-1.48906189452754,0.403941471909527,-3.6863308129477,0.00022751057179643,0.00739043478807617
"ENSG00000204472",117.723343471761,1.10288330159822,0.310017409548393,3.55748828172201,0.000374417798383386,0.00959085921234064
"ENSG00000232434",122.971373727013,-2.40495083649668,0.534833839076981,-4.49663177753891,6.9038397779254e-06,0.000959044699806215
"ENSG00000073331",222.011271912822,0.806043456289315,0.221821120936439,3.63375431918533,0.000279326852473911,0.00832820578619874
"ENSG00000114019",257.821572744822,-0.605588328132835,0.166500025328346,-3.63716658263916,0.000275653666682236,0.00832497845293892
"ENSG00000130812",55.3410029737847,0.787053797369139,0.219105140928481,3.59212839111814,0.000327988175823429,0.00900294074454107
"ENSG00000146205",264.787479000028,-0.848587950656557,0.177943657168276,-4.76885753704652,1.85273618225625e-06,0.000439752382082586
"ENSG00000264230",383.682303950112,-2.21219571656258,0.382717996704818,-5.78022391319319,7.46012687753490e-09,1.50508059754267e-05
"ENSG00000138356",57.1911973158316,-0.910005007995329,0.242934283960628,-3.7458896009211,0.000179755634948698,0.00659328817759636
"ENSG00000091583",80.1070773330129,-1.08546761149323,0.27108520786177,-4.00415655304485,6.2239139624186e-05,0.00363963664324044
"ENSG00000184831",426.426212287463,0.46940138725728,0.130215448430249,3.60480567333545,0.000312386582608091,0.00874973668699224
"ENSG00000186517",174.643939860577,0.992391812551709,0.261589213401696,3.79370311048642,0.000148417119698287,0.00611084773451619
"ENSG00000089820",286.657199133374,0.891159340684531,0.224091481295121,3.97676580802687,6.98589033090106e-05,0.00388772705050001
"ENSG00000123329",256.589982641197,1.06690988482275,0.300240650274217,3.55351576759614,0.000380118409786258,0.00967306500561923
"ENSG00000129675",119.539114567989,0.696690230576655,0.185998955406508,3.74566743697034,0.000179914801512166,0.00659328817759636
"ENSG00000088280",208.613663958037,0.628720692924564,0.176159985676792,3.56903237990779,0.000358302144203894,0.00938798150560202
