"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADAMTS16",94.1067812745156,-0.642148972052685,0.136133442481683,-4.71705526831946,2.39282705442409e-06,0.00361257064541677
"AZGP1",1231.42331598879,-0.954382897634391,0.18803391366853,-5.07558917970935,3.86297121365719e-07,0.000666528090265022
"DENND2A",105.786569570968,-0.925647866199491,0.22045470533775,-4.19881201801224,2.68318945691287e-05,0.027006301883828
"F7",22.0527079258767,-1.53873210681281,0.295842831389265,-5.20118097703093,1.98026154841579e-07,0.000478351979635317
"KDM5C",841.894093363569,-0.419285914362638,0.0980808274829953,-4.27490188574655,1.91221484977013e-05,0.0209961190504761
"KDM5D",316.15250213533,7.63625044677233,1.31618446520264,5.80180867398146,6.56033932287491e-09,2.64119261138944e-05
"KDM6A",455.764590831672,-0.883725979290768,0.0996677924731456,-8.86671568981403,7.53349389506478e-19,9.09895392645924e-15
"MPPED1",28.7131366761875,3.0055436209421,0.586710828400206,5.12270010277015,3.01191187641079e-07,0.000606297860721492
"PDE1C",27.5029250772138,-1.42912756534369,0.259421232799914,-5.5089074626592,3.61067642142475e-08,0.00010902437454492
"SMARCA2",1334.4313852273,0.532264002684742,0.113807828207543,4.67686635504625,2.91291962276604e-06,0.00381777165657675
"ST8SIA6",173.420458865235,1.37905884041262,0.295930562967868,4.66007575081848,3.16093033331408e-06,0.00381777165657675
"UTY",63.3312665322242,6.06905664229901,0.988602112210885,6.1390286014323,8.3027619053282e-10,5.0140379146277e-06
