"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KDM5C",901.210072726115,-0.388541552716889,0.0810309416622162,-4.7949776313418,1.6269298385092e-06,0.00603319815113827
"KDM6A",301.577079209869,-0.740276186006006,0.103401548700838,-7.1592369293015,8.11273674039948e-13,4.51270981184721e-09
"LCN2",39.0420160847313,-3.35927366541572,0.736562066667336,-4.56074758318082,5.09718238220038e-06,0.0141765385004948
"UBA1Y",57.0855220147823,2.45784961605476,0.308799026967057,7.95938264506569,1.72899769788842e-15,1.92350993890087e-11
