"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000128274",167.703574352857,0.641831418030504,0.178978924983883,3.58607259535334,0.000335695543384992,0.00681074612059935
"ENSG00000165029",603.521026397887,-1.49262732357813,0.405815859871555,-3.67809016643795,0.000234986895714835,0.0055202893213981
"ENSG00000150967",294.54631164748,1.38307574097648,0.273373738589519,5.05928531435574,4.20830785277468e-07,0.000101744609648855
"ENSG00000173210",147.843603107892,0.805943282685264,0.209476846181753,3.84740985639046,0.000119373177196613,0.00348071789288115
"ENSG00000130234",5032.2632906642,0.727452553459495,0.178870248012156,4.06692874608224,4.76368006764074e-05,0.00200298939075981
"ENSG00000177076",73.2103869354374,-1.30581852464773,0.275114821315138,-4.74644920402868,2.07018682892681e-06,0.000276143886778111
"ENSG00000153093",11.9707401280554,-2.88008137649759,0.777949747029663,-3.7021432136127,0.000213785878910284,0.00523414583281401
"ENSG00000131069",3523.86016976713,0.676522571235897,0.135795716550172,4.98191392499442,6.29584405898228e-07,0.000125971155697395
"ENSG00000142303",304.111731696634,0.494259589915732,0.137623530768681,3.59138867572355,0.000328920671977119,0.00675724776692511
"ENSG00000145536",94.1067812745156,0.708518045911426,0.136226839276779,5.20101655204591,1.98201447954447e-07,6.38924389864267e-05
"ENSG00000158859",13.7915451158859,-1.83647069049677,0.42718143132455,-4.29904147472534,1.71538373016394e-05,0.00106516841146948
"ENSG00000143382",67.1037342283887,-0.930791407463528,0.26018393906661,-3.57743606620252,0.000346981051439643,0.00696663512449318
"ENSG00000153292",30.5902148012841,-1.61598122967292,0.327687735353418,-4.93146692820239,8.16143870093154e-07,0.000156767698703889
"ENSG00000069122",1512.48860810333,-0.640472434612302,0.160216708587792,-3.99753833578069,6.40046277585108e-05,0.00225469862999958
"ENSG00000006831",546.167044286797,-0.662149405807337,0.17301578670207,-3.82710397952035,0.000129659752954274,0.00370616116510924
"ENSG00000163485",15.3080633326278,-1.27031191282199,0.356567226093176,-3.56261546171954,0.000367178329475493,0.00723001467303303
"ENSG00000274286",982.548188368047,-0.583927382689592,0.145927891209929,-4.00147893489095,6.29478000035419e-05,0.0022546580834602
"ENSG00000160216",1951.02766167896,-0.619340117910301,0.175941153897366,-3.52015491652162,0.000431294811542965,0.00805986519799696
"ENSG00000135744",1160.58730377749,-1.42743232897714,0.383468072970817,-3.72242809660394,0.000197316108942193,0.00499159539998337
"ENSG00000144891",380.693466126252,-0.55517822539433,0.145660671201186,-3.81144903985455,0.000138154539568125,0.00391044739436119
"ENSG00000121057",1085.20407280382,-0.549944014368482,0.135336358628683,-4.06353488405389,4.83350947451516e-05,0.00201772940473915
"ENSG00000165568",381.708493630969,0.420228340160271,0.101332736585663,4.14701462054194,3.36838560612667e-05,0.00160923774326369
"ENSG00000170017",439.442267092007,-0.465803372888182,0.121934117270639,-3.820123385601,0.000133384931509028,0.00379395129941733
"ENSG00000164236",296.82654821955,-0.692504066161146,0.196288949144384,-3.52798295156067,0.000418739124904399,0.00792735325369585
"ENSG00000137494",92.8796535303469,0.496216089305964,0.138320370151605,3.58744043818052,0.000333939982117721,0.00679106393343715
"ENSG00000151572",22.666331919008,1.23241606472921,0.29940566100447,4.11620829277109,3.85156256695948e-05,0.00175445586007017
"ENSG00000182718",646.571896732491,-0.501115372303294,0.130636768938712,-3.83594432390159,0.000125082744336219,0.00360194850625763
"ENSG00000164111",971.598244352991,-0.442635127572313,0.104013352759227,-4.25556061630798,2.08525858696736e-05,0.00121605155285207
"ENSG00000084234",4082.24175200907,-0.235622557998981,0.067563552031698,-3.48742111558074,0.000487702771337028,0.00877486924242823
"ENSG00000110244",20.6202009673337,-2.95262500455995,0.74229390647317,-3.97770341210078,6.9584089266128e-05,0.00234745161608551
"ENSG00000234906",11.1327237736106,-1.62398677241319,0.458182626521011,-3.54440932154968,0.000393493833057238,0.00759816294946631
"ENSG00000091583",215.643609864472,-1.00570930536853,0.274401206654624,-3.66510525820817,0.000247236878131954,0.00568155241726994
"ENSG00000161798",637.602364882161,-0.632152668009823,0.178139550815689,-3.54863737510979,0.000387229949584435,0.00750217623527107
"ENSG00000198576",16.6940760132518,-1.75173609731782,0.395835640117221,-4.42541277182386,9.62580470687562e-06,0.000727373599731286
"ENSG00000031081",117.139981065228,-0.568325655454489,0.157428386013526,-3.61005832458741,0.000306128161882743,0.0065066251257312
"ENSG00000163947",480.562178985216,-0.675796257843467,0.16091821772622,-4.19962554515263,2.67356757959695e-05,0.00142324549363407
"ENSG00000050327",597.123825242663,-0.491344714877803,0.122397469778198,-4.01433718987976,5.96130750870621e-05,0.00218927131767517
"ENSG00000131089",88.7473376041063,0.576380019369308,0.159721882073063,3.6086478063516,0.000307797132981081,0.00651822213183475
"ENSG00000196843",19.0059030651997,-1.79188051767076,0.424415033440027,-4.2220005807687,2.42143485887408e-05,0.00135099767005931
"ENSG00000122644",202.061849519345,-0.629879628501432,0.141188794753108,-4.46125791783181,8.14799543138839e-06,0.000661241167701135
"ENSG00000165997",168.622681491735,-0.959043812194374,0.232293974029902,-4.12857809247743,3.65013471609522e-05,0.00168764196734203
"ENSG00000118690",9.97964504884143,1.42240016403748,0.367663793933497,3.86875234251313,0.000109393684234114,0.0032888956101992
"ENSG00000139971",87.4084692823335,1.60295565783082,0.391119345549028,4.09837988346166,4.16052049996433e-05,0.00184991725678491
"ENSG00000113369",612.953008527319,-0.873353681719908,0.171213563396687,-5.10096083740996,3.37933489077935e-07,9.12027474592893e-05
"ENSG00000196372",720.106695718561,0.615765498291014,0.158167138654134,3.8931316803898,9.89584014251784e-05,0.00303011147371819
"ENSG00000183734",13.6035667737012,1.06914091063129,0.237158630272164,4.50812567691227,6.54028332566018e-06,0.000576022371040843
"ENSG00000034533",244.486196087983,0.766916451867472,0.121710883924825,6.30113287437102,2.9547794600965e-10,4.83704734491372e-07
"ENSG00000162772",14.3891917964429,-2.01703914838295,0.481691651378106,-4.18740732294666,2.82159176786389e-05,0.00143253083236137
"ENSG00000128272",956.264171669962,-0.750638352878336,0.176255957830807,-4.25879704786431,2.05529966628127e-05,0.00121074886432458
"ENSG00000163399",57858.6379301705,-0.364640368798349,0.0993382878354947,-3.67069311081944,0.000241893634023141,0.00561145456084582
"ENSG00000147416",2130.22916586572,-0.356572550911686,0.0857115987244044,-4.16014350704393,3.18047690900308e-05,0.00154060930585258
"ENSG00000151418",463.939505403034,0.880847794551741,0.205889836900386,4.27824805640075,1.88370036942882e-05,0.00113266024804256
"ENSG00000119986",247.325715635014,0.46861043721302,0.127338979376075,3.6800235050499,0.000233212456145456,0.00551427341381481
"ENSG00000155096",875.179963657465,0.383246553333737,0.101427313818844,3.7785339954703,0.000157754319258693,0.00423782146990078
"ENSG00000183778",88.5214108804627,1.4799091282137,0.323987259669043,4.56780038117993,4.92869072527934e-06,0.000476645465557223
"ENSG00000158470",91.272731865791,-0.726152132199129,0.208029854081982,-3.49061501486686,0.000481910134137399,0.00872475367654371
"ENSG00000123636",787.641660210611,-0.394786767308763,0.114580478252901,-3.44549763911262,0.000570008946359121,0.00972787326837883
"ENSG00000171552",337.766638375664,-0.623472464384919,0.158623000074671,-3.93053002459557,8.4758807833976e-05,0.00270971340196499
"ENSG00000161267",440.393801421205,0.706309358552763,0.165208065771131,4.27527164158704,1.90904387699298e-05,0.00114198217487132
"ENSG00000162373",610.468659167817,0.737131290741163,0.170841413544423,4.31471079200296,1.59811981146979e-05,0.00103182339265405
"ENSG00000023445",104.992358271635,-0.519151103179894,0.130598032851678,-3.97518317729563,7.03251070028327e-05,0.0023587366091557
"ENSG00000108578",1556.92428913803,1.09487688158751,0.193621475534874,5.65472852927571,1.56092785408077e-08,9.5339830245302e-06
"ENSG00000152785",159.473207975009,0.335358150638783,0.0969404990459464,3.45942257301393,0.000541334888892112,0.0093703701809985
"ENSG00000140299",118.695837528545,-0.423318389062392,0.117223755919007,-3.61119967316928,0.000304783887700827,0.00649577810040838
"ENSG00000119411",55.1144364629355,-0.514552494669773,0.142497167072411,-3.61096648614985,0.000305058083991604,0.00649577810040838
"ENSG00000133639",215.550276069688,-0.649387332116072,0.159973110792687,-4.05935303063294,4.92088685496422e-05,0.00203227373494163
"ENSG00000159388",119.512978216839,-1.13487299671269,0.275481214900749,-4.11960211922821,3.79527193305057e-05,0.00174087473450798
"ENSG00000165985",40.9068954585065,0.959746161066189,0.27820736563539,3.44975108360001,0.000561103666117993,0.00962711005308096
"ENSG00000134830",23.1043344814041,-1.01275834749425,0.233429848915936,-4.33859830778955,1.43394339837105e-05,0.000973152815093334
"ENSG00000075429",13.5927361236218,1.87880908789064,0.518757861246426,3.62174576665962,0.000292621624957635,0.00631821228945633
"ENSG00000118412",240.995694224089,0.477143720479635,0.130310768410483,3.66158320068084,0.000250661428616977,0.00570377623352944
"ENSG00000105971",340.616158959488,0.782482270563005,0.164775397969333,4.74878094792183,2.04646451621626e-06,0.000276143886778111
"ENSG00000166960",818.288594454089,0.472268618586659,0.125426838015214,3.76529159197471,0.000166354829889319,0.0043976031910377
"ENSG00000100557",454.478654661564,0.412126705305725,0.119126995534699,3.45955762130912,0.000541063497908508,0.0093703701809985
"ENSG00000152076",114.531764097168,0.740589253559705,0.144842393877098,5.11306968723611,3.16965298338428e-07,8.75805306480346e-05
"ENSG00000149201",16.8011644409993,1.59625270160365,0.398067991703987,4.01000013784243,6.0718712406723e-05,0.00220890488238251
"ENSG00000163394",648.591781523083,0.605304214086762,0.160607027075319,3.76885261566356,0.000163999683621879,0.00436517506521079
